DiagnosisText;Icd1;IcdC;Icd2;CodingFlag;Likelihood;Prompt;YearStart;YearEnd;DateIn;UserIn;DateOut;UserOut;Comments;OKForMultipleCodes;FixForDT;DesignedByDT;NoStand1ByDT;NoStand2ByDT
2 greffes hépatiques;Z944;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
47 XXY;Q980;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
47 XYY;Q985;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
à déterminer;R97;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
AA thoracique;I712;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
AAA;I714;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
AAA fissuré;I713;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
AAA rompu;I713;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
AAA sous-rénal rompu;I713;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
AAA sous-rénale;I714;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
AAA sous-rénale rompu;I713;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
AAG;J46;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
Aao;I719;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
AAP;Y444;;;;;;2010;2025;2014-03-25 00:00:00.000;User6;1899-12-30 00:00:00.000;;;;;;;
AAP;Z922;;;;;;2011;2025;2014-03-25 00:00:00.000;User6;1899-12-30 00:00:00.000;;;;;;;
abandon;Y069;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
abandon familial;Y061;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
abandon médico-social;Z604;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
abandon par famille;Y061;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
abandon social;Z604;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
abandon traitement;Z532;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
abandonnisme;F688;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
abandonnisme;R453;;;;;;2011;2020;2015-10-29 00:00:00.000;User8;1899-12-30 00:00:00.000;;;;;;;
abandonnisme sénile;R54;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
abasie;F444;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
abcédation;L029;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
abcédation biceps;M600;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
abcédation chronique;L029;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
abcédation chronique cuisse;L024;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
abcédation cutanée;L029;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
abcédation cutanée axillaire;L022;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
abcédation hépatique;K750;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
abcédation iléale;K630;;;;;;2011;2025;2011-05-02 00:00:00.000;User1;1899-12-30 00:00:00.000;;;;;;;
