rec_id,millesime,localisation,situation,type,texte,condition,citation_fichier,citation_lignes,citation
GM2026-V-AVC-07,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — association d'un AIT et d'un AVC constitué,regle_association,Un code d'AIT (G45.–) et un code d'AVC constitué (I60–I64) ne peuvent être associés que s'il s'agit de deux épisodes distincts au cours du même séjour.,Deux épisodes distincts au cours du même séjour,avc.txt,L123-124,Un code d’AIT (G45.–) et un code d’AVC constitué (I60–I64) ne peuvent être associés que s’il s’agit de deux épisodes distincts au cours du même séjour.
GM2026-V-AVC-08,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC à la phase aigüe — manifestations cliniques,regle_position,"Les manifestations cliniques de l'AVC sont codées comme diagnostics associés significatifs si elles en respectent la définition, le plus précisément possible et en employant les extensions ATIH prévues (hémiplégie G81.0–, aphasie et dysphasie R47.0–).",Respect de la définition du DAS,avc.txt,L126-129,"Les manifestations cliniques de l’AVC sont codées comme diagnostics associés significatifs (DAS) si elles en respectent la définition. Il importe de les coder le plus précisément possible et d’employer les extensions prévues pour certains codes (hémiplégie, dysphasie et aphasie : se reporter au point 2 supra)."
GM2026-V-AVC-09,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — syndromes des artères cérébrales G46.0 à G46.2,interdiction,"G46.0, G46.1 et G46.2 sont réservés aux syndromes neurologiques résultant d'une insuffisance circulatoire sans infarctus : ils ne peuvent pas être associés à un code d'infarctus cérébral. Cette association reste possible pour G46.3 à G46.8.",,avc.txt,L76-81,"la CIM–10 réserve les codes G46.0 à G46.2 […] à l’enregistrement de syndromes neurologiques résultant d’une insuffisance circulatoire sans infarctus […]. Ainsi, G46.0, G46.1 et G46.2 ne peuvent pas être associés à un code d’infarctus cérébral, alors que cette association est possible pour les codes G46.3 à G46.8."
GM2026-V-AVC-10,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — codage des séquelles,regle_position,"Le codage des séquelles donne la priorité aux manifestations cliniques observées, auxquelles on associe un code de la catégorie I69 Séquelles de maladies cérébrovasculaires.",,avc.txt,L89-92,"Leur codage donne la priorité aux manifestations cliniques observées, auxquelles on associe un code de la catégorie I69 Séquelles de maladies cérébrovasculaires."
GM2026-V-AVC-11,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — antécédent sans séquelle,condition_emploi,Z86.70 exclut par construction la notion de séquelle ; il doit être employé dès que l'AVC est considéré comme ancien et qu'il ne persiste aucune séquelle fonctionnelle.,"AVC ancien, aucune séquelle fonctionnelle persistante",avc.txt,L94-97,"Par construction de la CIM–10, la notion d’antécédent d’AVC, codée Z86.70, exclut celle de séquelle. Le code Z86.70 Antécédents personnels de maladies cérébrovasculaires doit être employé dès que l’AVC est considéré comme ancien et qu’il ne persiste aucune séquelle fonctionnelle."
GM2026-V-AVC-12,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — séjour pour poursuite des soins dans une autre unité ou un autre établissement,regle_position,"En cas de transfert dans un autre établissement de MCO, l'AVC peut être codé comme DP dans l'établissement d'accueil dès lors qu'il continue d'être le sujet des soins.",L'AVC continue d'être le sujet des soins,avc.txt,L152-155,"en cas de transfert dans un autre établissement de MCO après sortie d’unité neurovasculaire, l’AVC peut être codé comme DP dans l’autre établissement dès lors qu’il continue d’être le sujet des soins (situation clinique de traitement unique partagé […])."
GM2026-V-AVC-13,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — séjour pour aggravation ou complication (séjour distinct de la prise en charge initiale),regle_position,La manifestation ou la complication prise en charge est codée comme DP ; un code de séquelle d'AVC (I69) est placé en DAS.,Séjour distinct de celui de la prise en charge initiale,avc.txt,L157-166,"La manifestation ou la complication prise en charge est codée comme DP. Les exemples les plus fréquents sont les troubles de la marche ou l’aggravation de la spasticité (catégorie R26 […]), le syndrome dépressif (catégorie F32 […]), l’épilepsie (catégories G40 […] et G41 […]), la démence vasculaire (catégorie F01 […]). Un code de séquelle d’AVC (I69) est placé en DAS."
GM2026-V-AVC-14,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX","AVC — surveillance au long cours avec séquelles, sans affection nouvelle",regle_position,"S'il n'est pas découvert d'affection nouvelle, le DP appartient au chapitre XXI ; un code de séquelle d'AVC (I69) est placé en DR et les manifestations séquellaires éventuelles sont codées comme DAS.",Aucune affection nouvelle découverte ; séquelles présentes,avc.txt,L176-180,S’il n’est pas découvert d’affection nouvelle le code du DP appartient au chapitre XXI de la CIM-10 […]. Un code de séquelle d’AVC (I69) est placé en DR et les manifestations séquellaires éventuelles sont codées comme DAS si elles en respectent la définition.
GM2026-V-AVC-15,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — surveillance dite positive (affection nouvelle liée à l'AVC),regle_position,"Si une affection nouvelle liée à l'AVC — complication de celui-ci ou de son traitement — est découverte, cette affection est le DP ; les manifestations séquellaires respectant la définition d'un DAS, complétées par un code de séquelle I69.–, sont enregistrées en position de diagnostics associés.",Découverte d'une affection nouvelle liée à l'AVC,avc.txt,L185-189,"Si une affection nouvelle liée à l’AVC, c’est-à-dire une complication de celui-ci ou de son traitement, est découverte (surveillance dite positive), cette affection est le DP. Les éventuelles manifestations séquellaires respectant la définition d’un DAS, complétées par un code de séquelle I69.–, sont enregistrées en position de diagnostics associés."
GM2026-V-AVC-16,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — séjour pour répit de la famille ou des aidants,regle_position,Le DP est codé Z74.2 Besoin d'assistance à domicile ou Z75.5 Prise en charge pendant les vacances ; un code de séquelle de maladie cérébrovasculaire (I69.–) est saisi en position de DAS.,,avc.txt,L199-202,Séjour pour répit de la famille ou des aidants : le DP est codé Z74.2 […] ou Z75.5 Prise en charge pendant les vacances. Un code de séquelle de maladie cérébrovasculaire (I69.–) est saisi en position de DAS.
GM2026-V-AVC-17,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — codage de l'étiologie,condition_emploi,L'étiologie ne peut être codée comme diagnostic associé que si elle en respecte la définition. Les étiologies sont classées dans des rubriques diverses de la CIM–10.,Respect de la définition du diagnostic associé,avc.txt,L143-144 et L85-87,"L’étiologie ne peut être codée comme diagnostic associé que si elle en respecte la définition. — Les étiologies des AVC sont classées dans des rubriques diverses de la CIM–10 ; par exemple la fibrillation auriculaire (I48), les malformations congénitales vasculaires cérébrales (Q28.–), l’athérosclérose cérébrale (I67.2), l’encéphalopathie hypertensive (I67.4), etc."
GM2026-V-AVC-18,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — codage des complications,condition_emploi,"Les complications sont codées comme DAS si elles en respectent la définition (par exemple inhalation, épilepsie, escarre, démence vasculaire).",Respect de la définition du DAS,avc.txt,L146-147,"Les complications sont codées comme DAS si elles en respectent la définition, par exemple, inhalation, épilepsie, escarre, démence vasculaire…"
GM2026-V-AVC-19,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC constitué à la phase aigüe — périmètre des catégories,definition,"Le codage des AVC constitués fait appel, à la phase aigüe, aux catégories I60 à I63, qui excluent les lésions traumatiques. I60 inclut la rupture d'anévrisme d'artère cérébrale ; I62 inclut l'hémorragie sous-durale et extradurale ; I63 couvre les AVC ischémiques (embolie, thrombose, bas débit).",,avc.txt,L28-39,"Le codage des AVC constitués fait appel, à la phase aigüe, aux catégories I60 à I63 qui excluent les lésions traumatiques. […] I60 Hémorragie sous-arachnoïdienne ; cette catégorie inclut la rupture d’anévrisme d’artère cérébrale ; […] I62 […] cette catégorie inclut l’hémorragie sous-durale et extradurale. Les AVC par infarctus cérébral ou AVC ischémiques — embolie, thrombose, bas débit — sont codés avec la catégorie I63 Infarctus cérébral."
GM2026-V-AVC-20,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX","AVC — extensions ATIH des manifestations (hémiplégie, aphasie)",definition,"G81.0 et R47.0 ont été subdivisés par l'ATIH en 2007 pour distinguer les symptômes selon leur moment d'apparition et leur évolution : G81.00, G81.01, G81.08 ; R47.00, R47.01, R47.02, R47.03. Les mêmes codes servent pour les parésies et les paralysies.",,avc.txt,L50-62,"À l’initiative de la Société française neurovasculaire, ces deux catégories ont fait l’objet d’extensions par l’ATIH en 2007 afin de distinguer les symptômes selon leur moment d’apparition et leur évolution : G81.0 Hémiplégie flasque est subdivisé en : G81.00 […], G81.01 […] et G81.08 […] ; on emploie les mêmes codes pour les parésies et les paralysies […] ; R47.0 Dysphasie et aphasie est subdivisé en : R47.00 […], R47.01 […], R47.02 […], R47.03 Dysphasie."
GM2026-V-D62-03,2026-provisoire,"Guide MCO, chap. V, pp. 81-82, article ANÉMIE POSTHÉMORRAGIQUE AIGÜE APRÈS UNE INTERVENTION",Anémie postopératoire — seuils biologiques de la discussion,definition,"La question de l'emploi de D62 se pose devant un hémogramme postopératoire prouvant une chute de l'hémoglobine en deçà de 13 g/dL chez l'homme, 12 g/dL chez la femme (11 g/dL chez la femme enceinte), chez un adulte jusqu'alors non anémié.",Adulte jusqu'alors non anémié,anemie_posthemorragique_d62.txt,L53-57,"L’emploi du code D62 Anémie posthémorragique aigüe pour mentionner la constatation d’une anémie postopératoire se discute devant un résultat d’hémogramme postopératoire prouvant la chute de l’hémoglobine en deçà de 13 grammes par décilitre chez l’homme, 12 grammes par décilitre chez la femme (11 grammes par décilitre chez la femme enceinte), chez un adulte jusqu’alors non anémié."
GM2026-V-DEN-01,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Dénutrition de l'enfant (< 18 ans) — choix du code selon la sévérité,regle_position,"Une dénutrition sévère se code E43 Malnutrition protéino-énergétique grave, sans précision ; une dénutrition modérée se code E44.0 Malnutrition protéino-énergétique modérée.",Patient de moins de 18 ans ; diagnostic de dénutrition posé (au moins 1 critère phénotypique ET 1 critère étiologique),malnutrition_denutrition.txt,L118-121,"1.3 Consigne — Une dénutrition sévère se code E43 Malnutrition protéino-énergétique grave, sans précision, une dénutrition modérée se code E44.0 Malnutrition protéino-énergétique modérée."
GM2026-V-DEN-02,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Dénutrition de l'adulte (≥ 18 et < 70 ans) — choix du code selon la sévérité,regle_position,Une dénutrition sévère se code E43 ; une dénutrition modérée se code E44.0.,Patient de 18 à moins de 70 ans ; diagnostic de dénutrition posé,malnutrition_denutrition.txt,L176-179,"2.3 Consigne — Une dénutrition sévère se code E43 Malnutrition protéino-énergétique grave, sans précision, une dénutrition modérée se code E44.0 Malnutrition protéino-énergétique modérée."
GM2026-V-DEN-03,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Dénutrition de la personne âgée (≥ 70 ans) — choix du code selon la sévérité,regle_position,Une dénutrition sévère se code E43 ; une dénutrition modérée se code E44.0.,Patient de 70 ans et plus ; diagnostic de dénutrition posé,malnutrition_denutrition.txt,L237-239,"3.3. Consigne — Une dénutrition sévère se code E43 Malnutrition protéino-énergétique grave, sans précision, une dénutrition modérée se code E44.0 Malnutrition protéino-énergétique modérée."
GM2026-V-DEN-04,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Emploi des codes E40 à E46 — exigence documentaire,condition_emploi,L'emploi des codes E40 à E46 doit se fonder sur les critères HAS et nécessite que le dossier comporte la mention de dénutrition. Cette mention peut être indiquée par un clinicien ou par un diététicien.,Mention de dénutrition présente au dossier,malnutrition_denutrition.txt,L244-246,L’emploi des codes E40 à E46 doit se fonder sur ces critères et nécessite que le dossier comporte la mention de dénutrition. Cette mention peut être indiquée par un clinicien ou par un diététicien.
GM2026-V-DEN-05,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION","Emploi des codes E40, E41 et E42 en France",condition_emploi,"L'emploi des catégories E40 Kwashiorkor, E41 Marasme nutritionnel et E42 Kwashiorkor avec marasme ne peut être qu'exceptionnel en France.",,malnutrition_denutrition.txt,L64-65 (note 57) et L272-273 (note 62),"Les codes E40, E41 et E42 ne peuvent connaître qu’un emploi exceptionnel en France. — Pour mémoire l’emploi des catégories E40, E41 et E42 ne peut être qu’exceptionnel en France."
GM2026-V-DEN-06,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Détermination du niveau de sévérité,condition_emploi,"Le code est déterminé en fonction des critères correspondant aux définitions HAS retrouvés au dossier, sans que le niveau de sévérité doive nécessairement être mentionné dans le dossier — bien qu'il soit recommandé qu'il le soit.",,malnutrition_denutrition.txt,L250-253,"Le code CIM10 est déterminé en fonction des critères correspondant aux définitions publiées par la HAS et retrouvés au dossier, sans que le niveau de sévérité ne doive nécessairement être mentionné dans le dossier. Il est toutefois recommandé que ce niveau soit explicitement mentionné."
GM2026-V-DEN-07,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Coexistence de critères de sévérité différents (adulte 18-70 ans),regle_association,"Lors de l'observation simultanée d'un seul critère de dénutrition sévère et d'un ou plusieurs critères de dénutrition modérée, il est recommandé de poser un diagnostic de dénutrition sévère.","Coexistence d'un critère sévère et de critères modérés ; portée limitée à la section « adulte ≥ 18 et < 70 ans » du guide (non généralisée aux trois tranches d'âge, décision RF 2026-08-14)",malnutrition_denutrition.txt,L172-174,"Lors de l’observation simultanée d’un seul critère de dénutrition sévère et d’un ou plusieurs critères de dénutrition modérée, il est recommandé de poser un diagnostic de dénutrition sévère."
GM2026-V-DEN-08,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Périmètre du terme « malnutrition » dans la CIM-10,definition,"La CIM–10 range sous le terme générique de malnutrition un groupe d'affections résultant d'une carence d'apport ou d'une désassimilation protéinoénergétique : on doit donc l'entendre au sens restreint de dénutrition. Le groupe est E40–E46, auquel s'ajoute O25 Malnutrition au cours de la grossesse.",,malnutrition_denutrition.txt,"L40-43, L66-67 (note 58), L68-70 (note 59)","Elle range sous le terme générique de malnutrition un groupe d’affections résultant d’une carence d’apport ou d’une désassimilation protéinoénergétique : on doit donc l’entendre dans le sens restreint de dénutrition. — Auxquels s’ajoute O25 Malnutrition au cours de la grossesse. — Cet anglicisme désigne de fait tout trouble lié à un déséquilibre alimentaire, aussi bien en défaut qu’en excès."
GM2026-V-DEN-10,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Critères de dénutrition modérée chez l'enfant (< 18 ans),definition,"Dénutrition modérée avant 18 ans : courbe IOTF 17 < IMC < courbe IOTF 18,5 ; perte de poids ≥ 5 % et ≤ 10 % en 1 mois ou ≥ 10 % et ≤ 15 % en 6 mois par rapport au poids habituel avant le début de la maladie ; stagnation pondérale aboutissant à un poids situé entre 2 et 3 couloirs en dessous du couloir habituel. Un seul critère suffit dès lors que la dénutrition est présente.",Patient de moins de 18 ans ; dénutrition déjà établie,malnutrition_denutrition.txt,L91-101,"1.1 Les critères de dénutrition modérée chez les patients âgés de moins de 18 ans — courbe IOTF 17 < IMC < courbe IOTF 18,5 ; perte de poids ≥ 5 % et ≤ 10 % en 1 mois ou ≥ 10 % et ≤ 15 % en 6 mois par rapport au poids habituel avant le début de la maladie ; stagnation pondérale aboutissant à un poids situé entre 2 et 3 couloirs en dessous du couloir habituel. L’observation d’un seul critère de dénutrition modérée suffit pour poser le diagnostic de dénutrition modérée dès lors que la dénutrition est présente."
GM2026-V-DEN-11,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Critères de dénutrition sévère chez l'enfant (< 18 ans),definition,Dénutrition sévère avant 18 ans : IMC ≤ courbe IOTF 17 ; perte de poids > 10 % en 1 mois ou > 15 % en 6 mois ; stagnation pondérale aboutissant à un poids situé au moins 3 couloirs en dessous du couloir habituel ; infléchissement statural avec perte d'au moins un couloir. Un seul critère suffit dès lors que la dénutrition est présente.,Patient de moins de 18 ans ; dénutrition déjà établie,malnutrition_denutrition.txt,L104-115,1.2 Les critères de dénutrition sévère chez les patients âgés de moins de 18 ans — IMC ≤ courbe IOTF 17 ; perte de poids > 10 % en 1 mois ou > 15 % en 6 mois par rapport au poids habituel avant le début de la maladie ; stagnation pondérale aboutissant à un poids situé au moins 3 couloirs (représentant 3 écart-types) en dessous du couloir habituel ; infléchissement statural (avec perte d’au moins un couloir par rapport à la taille habituelle). L’observation d’un seul critère de dénutrition sévère suffit à qualifier la dénutrition de sévère dès lors que la dénutrition est présente.
GM2026-V-DEN-12,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Critères de dénutrition modérée chez l'adulte (≥ 18 et < 70 ans),definition,"Dénutrition modérée de 18 à 70 ans : 17 < IMC < 18,5 kg/m² ; perte de poids ≥ 5 % en 1 mois ou ≥ 10 % en 6 mois ou ≥ 10 % par rapport au poids habituel ; albuminémie > 30 g/L et < 35 g/L, quel que soit l'état inflammatoire. Un seul critère suffit dès lors que la dénutrition est présente.",Patient de 18 à moins de 70 ans ; dénutrition déjà établie,malnutrition_denutrition.txt,L146-156,"2.1 Les critères de dénutrition modérée chez l’adulte (≥ 18 ans et < 70 ans) — 17 < IMC < 18,5 kg/m2 ; perte de poids ≥ 5 % en 1 mois ou ≥ 10 % en 6 mois ou ≥ 10 % par rapport au poids habituel avant le début de la maladie ; mesure de l’albuminémie par immunonéphélémétrie ou immunoturbidimétrie >30 g/L et < 35 g/L. Les seuils d’albuminémie sont à prendre en compte quel que soit l’état inflammatoire."
GM2026-V-DEN-13,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Critères de dénutrition sévère chez l'adulte (≥ 18 et < 70 ans),definition,"Dénutrition sévère de 18 à 70 ans : IMC ≤ 17 kg/m² ; perte de poids ≥ 10 % en 1 mois ou ≥ 15 % en 6 mois ou ≥ 15 % par rapport au poids habituel ; albuminémie ≤ 30 g/L, quel que soit l'état inflammatoire. Un seul critère suffit dès lors que la dénutrition est présente.",Patient de 18 à moins de 70 ans ; dénutrition déjà établie,malnutrition_denutrition.txt,L159-170,2.2 Les critères de dénutrition sévère chez l’adulte (≥ 18 ans et < 70 ans) — IMC ≤ 17 kg/m2 ; perte de poids ≥ 10 % en 1 mois ou ≥ 15 % en 6 mois ou ≥ 15 % par rapport au poids habituel avant le début de la maladie ; mesure de l’albuminémie par immunonéphélémétrie ou immunoturbidimétrie ≤ 30g/L. Les seuils d’albuminémie sont à prendre en compte quel que soit l’état inflammatoire.
GM2026-V-DEN-14,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Critères de dénutrition modérée chez la personne âgée (≥ 70 ans),definition,Dénutrition modérée à partir de 70 ans : 20 ≤ IMC < 22 ; perte de poids ≥ 5 % et < 10 % en 1 mois ou ≥ 10 % et < 15 % en 6 mois ou ≥ 10 % et < 15 % par rapport au poids habituel ; albuminémie > 30 g/L. Un seul critère suffit dès lors que la dénutrition est présente.,Patient de 70 ans et plus ; dénutrition déjà établie,malnutrition_denutrition.txt,L209-217,3.1 Les critères de dénutrition modérée chez les patients âgés de 70 ans et plus — 20 ≤ IMC < 22 ; perte de poids ≥ 5 % et < 10 % en 1 mois ou ≥ 10 % et < 15 % en 6 mois ou ≥ 10 % et < 15 % par rapport au poids habituel avant le début de la maladie ; mesure de l’albuminémie par immunonéphélémétrie ou immunoturbidimétrie > 30 g/L.
GM2026-V-DEN-15,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Critères de dénutrition sévère chez la personne âgée (≥ 70 ans),definition,Dénutrition sévère à partir de 70 ans : IMC < 20 kg/m² ; perte de poids ≥ 10 % en 1 mois ou ≥ 15 % en 6 mois ou ≥ 15 % par rapport au poids habituel ; albuminémie ≤ 30 g/L. Un seul critère suffit dès lors que la dénutrition est présente.,Patient de 70 ans et plus ; dénutrition déjà établie,malnutrition_denutrition.txt,L228-236,3.2. Les critères de dénutrition sévère chez les patients âgés de 70 ans et plus — IMC < 20 kg/m2 ; Perte de poids ≥ 10 % en 1 mois ou ≥ 15 % en 6 mois ou ≥ 15 % par rapport au poids habituel avant le début de la maladie ; mesure de l’albuminémie par immunonéphélémétrie ou immunoturbidimétrie ≤ 30 g/L.
GM2026-V-DEN-16,2026-provisoire,"Guide MCO, chap. V, pp. 109-114, article MALNUTRITION, DÉNUTRITION",Diagnostic de dénutrition — critères phénotypiques et étiologiques requis,definition,"Le diagnostic de dénutrition nécessite au moins 1 critère phénotypique ET 1 critère étiologique ; il est un préalable obligatoire avant de juger de la sévérité et repose exclusivement sur des critères non biologiques. Les critères étiologiques sont identiques aux trois âges : réduction de la prise alimentaire ≥ 50 % pendant plus d'1 semaine (ou toute réduction pendant plus de 2 semaines) ; absorption réduite (malabsorption, maldigestion) ; situation d'agression (pathologie aiguë, chronique évolutive ou maligne évolutive). Les critères phénotypiques varient avec l'âge — perte de poids, IMC (seuils IOTF avant 18 ans, 18,5 kg/m² de 18 à 70 ans, 22 kg/m² au-delà), réduction de la masse ou de la fonction musculaires, sarcopénie confirmée après 70 ans.",,malnutrition_denutrition.txt,"L48-52, L57-89, L126-143, L187-205","Pour les patients de moins de 70 ans, le diagnostic de la dénutrition nécessite la présence d’au moins 1 critère phénotypique et 1 critère étiologique. Ce diagnostic est un préalable obligatoire avant de juger de sa sévérité. Il repose exclusivement sur des critères non biologiques. — Les critères étiologiques sont les suivants : réduction de la prise alimentaire ≥ 50 % pendant plus d’1 semaine, ou toute réduction des apports pendant plus de 2 semaines […] ; absorption réduite (malabsorption/maldigestion) ; situation d’agression (hypercatabolisme protéique avec ou sans syndrome inflammatoire) : pathologie aiguë ou pathologie chronique évolutive ou pathologie maligne évolutive."
