rec_id,millesime,localisation,situation,type,texte,condition
GM2026-V-AVC-01,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC/AIT à la phase aigüe — séjour initial,regle_position,"Le DP emploie G45.– pour un AIT, I60.– à I63.– pour un AVC constitué ; ces codes restent employés par toutes les unités MCO successives de la première prise en charge","Première prise en charge, patient n'ayant pas quitté le champ MCO"
GM2026-V-AVC-02,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — emploi de I64,condition_emploi,"I64 n'est employé qu'en l'absence d'examen de neuro-imagerie, jamais en association avec un code plus précis",Absence de neuro-imagerie
GM2026-V-AVC-03,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC constitué — artère et mécanisme,interdiction,"G46.0-G46.2, I65, I66, I67.0, I67.1 ne doivent pas être employés en association avec I60–I64 pour décrire l'artère ou le mécanisme (exclusion CIM-10 en cas d'infarctus)",En association avec un AVC constitué
GM2026-V-AVC-04,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — récidive,regle_position,Une récidive confirmée par l'imagerie est codée comme un AVC à la phase aigüe,Confirmation par imagerie
GM2026-V-AVC-05,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — surveillance négative sans séquelle,regle_position,DP = Z86.70 ; pas de DR,"Aucune affection nouvelle, aucune séquelle"
GM2026-V-AVC-06,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — soins palliatifs,regle_position,DP = Z51.5 ; le code de l'AVC (aigu ou séquelle selon la phase) en DR,
GM2026-V-AVC-07,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — association d'un AIT et d'un AVC constitué,regle_association,Un code d'AIT (G45.–) et un code d'AVC constitué (I60–I64) ne peuvent être associés que s'il s'agit de deux épisodes distincts au cours du même séjour.,Deux épisodes distincts au cours du même séjour
GM2026-V-AVC-08,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC à la phase aigüe — manifestations cliniques,regle_position,"Les manifestations cliniques de l'AVC sont codées comme diagnostics associés significatifs si elles en respectent la définition, le plus précisément possible et en employant les extensions ATIH prévues (hémiplégie G81.0–, aphasie et dysphasie R47.0–).",Respect de la définition du DAS
GM2026-V-AVC-09,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — syndromes des artères cérébrales G46.0 à G46.2,interdiction,"G46.0, G46.1 et G46.2 sont réservés aux syndromes neurologiques résultant d'une insuffisance circulatoire sans infarctus : ils ne peuvent pas être associés à un code d'infarctus cérébral. Cette association reste possible pour G46.3 à G46.8.",
GM2026-V-AVC-10,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — codage des séquelles,regle_position,"Le codage des séquelles donne la priorité aux manifestations cliniques observées, auxquelles on associe un code de la catégorie I69 Séquelles de maladies cérébrovasculaires.",
GM2026-V-AVC-11,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — antécédent sans séquelle,condition_emploi,Z86.70 exclut par construction la notion de séquelle ; il doit être employé dès que l'AVC est considéré comme ancien et qu'il ne persiste aucune séquelle fonctionnelle.,"AVC ancien, aucune séquelle fonctionnelle persistante"
GM2026-V-AVC-12,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — séjour pour poursuite des soins dans une autre unité ou un autre établissement,regle_position,"En cas de transfert dans un autre établissement de MCO, l'AVC peut être codé comme DP dans l'établissement d'accueil dès lors qu'il continue d'être le sujet des soins.",L'AVC continue d'être le sujet des soins
GM2026-V-AVC-13,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — séjour pour aggravation ou complication (séjour distinct de la prise en charge initiale),regle_position,La manifestation ou la complication prise en charge est codée comme DP ; un code de séquelle d'AVC (I69) est placé en DAS.,Séjour distinct de celui de la prise en charge initiale
GM2026-V-AVC-14,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX","AVC — surveillance au long cours avec séquelles, sans affection nouvelle",regle_position,"S'il n'est pas découvert d'affection nouvelle, le DP appartient au chapitre XXI ; un code de séquelle d'AVC (I69) est placé en DR et les manifestations séquellaires éventuelles sont codées comme DAS.",Aucune affection nouvelle découverte ; séquelles présentes
GM2026-V-AVC-15,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — surveillance dite positive (affection nouvelle liée à l'AVC),regle_position,"Si une affection nouvelle liée à l'AVC — complication de celui-ci ou de son traitement — est découverte, cette affection est le DP ; les manifestations séquellaires respectant la définition d'un DAS, complétées par un code de séquelle I69.–, sont enregistrées en position de diagnostics associés.",Découverte d'une affection nouvelle liée à l'AVC
GM2026-V-AVC-16,2026-provisoire,"Guide MCO, chap. V, pp. 78-81, article ACCIDENTS VASCULAIRES CÉRÉBRAUX",AVC — séjour pour répit de la famille ou des aidants,regle_position,Le DP est codé Z74.2 Besoin d'assistance à domicile ou Z75.5 Prise en charge pendant les vacances ; un code de séquelle de maladie cérébrovasculaire (I69.–) est saisi en position de DAS.,
