code,chapter,fichier,libelle,n_enfants,has_perimetre,has_exclusions,has_formulations,type_mco,statut_mco,nb_chars,format_version
A00,I,I/A00.md,Choléra,3,true,true,true,3,pere_interdit,1502,1
A01,I,I/A01.md,Fièvres typhoïde et paratyphoïde,5,true,true,true,3,pere_interdit,2477,1
A02,I,I/A02.md,Autres salmonelloses,5,true,true,true,3,pere_interdit,2857,1
A03,I,I/A03.md,Shigellose,6,true,true,true,3,pere_interdit,2260,1
A04,I,I/A04.md,Autres infections intestinales bactériennes,10,true,true,true,3,pere_interdit,3149,1
A05,I,I/A05.md,"Autres intoxications bactériennes d'origine alimentaire, non classées ailleurs",7,true,true,true,3,pere_interdit,3087,1
A06,I,I/A06.md,Amibiase,10,true,true,true,3,pere_interdit,3167,1
A07,I,I/A07.md,Autres maladies intestinales à protozoaires,6,true,true,true,3,pere_interdit,3325,1
A08,I,I/A08.md,Infections virales intestinales et autres infections intestinales précisées,6,true,true,true,3,pere_interdit,2693,1
A09,I,I/A09.md,Autres gastroentérites et colites d'origine infectieuse et non précisée,2,true,true,true,3,pere_interdit,3185,1
A15,I,I/A15.md,"Tuberculose de l'appareil respiratoire, avec confirmation bactériologique et histologique",10,true,true,true,3,pere_interdit,6901,1
A16,I,I/A16.md,"Tuberculose de l'appareil respiratoire, sans confirmation bactériologique ou histologique",9,true,true,true,3,pere_interdit,9290,1
A17,I,I/A17.md,Tuberculose du système nerveux,4,true,true,true,3,pere_interdit,3765,1
A18,I,I/A18.md,Tuberculose d'autres organes,9,true,true,true,3,pere_interdit,6956,1
A19,I,I/A19.md,Tuberculose miliaire,5,true,true,true,3,pere_interdit,2832,1
A20,I,I/A20.md,Peste,7,true,true,true,3,pere_interdit,1992,1
A21,I,I/A21.md,Tularémie,7,true,true,true,3,pere_interdit,2205,1
A22,I,I/A22.md,Charbon,6,true,true,true,3,pere_interdit,2226,1
A23,I,I/A23.md,Brucellose,6,true,true,true,3,pere_interdit,1880,1
A24,I,I/A24.md,Morve et mélioïdose,5,true,true,true,3,pere_interdit,1981,1
A25,I,I/A25.md,Fièvres causées par morsure de rat,3,true,true,true,3,pere_interdit,1906,1
A26,I,I/A26.md,Érysipéloïde,4,true,true,true,3,pere_interdit,1662,1
A27,I,I/A27.md,Leptospirose,3,true,true,true,3,pere_interdit,2095,1
A28,I,I/A28.md,"Autres anthropozoonoses  bactériennes, non classées ailleurs",5,true,true,true,3,pere_interdit,2563,1
A30,I,I/A30.md,Lèpre [maladie de Hansen],8,true,true,true,3,pere_interdit,3034,1
A31,I,I/A31.md,Infections dues à d'autres mycobactéries,4,true,true,true,3,pere_interdit,3442,1
A32,I,I/A32.md,Listériose,5,true,true,true,3,pere_interdit,3250,1
A33,I,I/A33.md,Tétanos du nouveau-né,0,true,true,true,0,codable,1224,1
A34,I,I/A34.md,Tétanos obstétrical,0,true,true,true,0,codable,1247,1
A35,I,I/A35.md,Autres formes de tétanos,0,true,true,true,0,codable,1368,1
A36,I,I/A36.md,Diphtérie,6,true,true,true,3,pere_interdit,2588,1
A37,I,I/A37.md,Coqueluche,4,true,true,true,3,pere_interdit,1558,1
A38,I,I/A38.md,Scarlatine,0,true,true,true,0,codable,1409,1
A39,I,I/A39.md,Infection à méningocoques,8,true,true,true,3,pere_interdit,3901,1
A40,I,I/A40.md,Sepsis à streptocoques,6,true,true,true,3,pere_interdit,3383,1
A41,I,I/A41.md,Autres sepsis,8,true,true,true,3,pere_interdit,4866,1
A42,I,I/A42.md,Actinomycose,6,true,true,true,3,pere_interdit,2557,1
A43,I,I/A43.md,Nocardiose,4,true,true,true,3,pere_interdit,2178,1
A44,I,I/A44.md,Bartonellose,4,true,true,true,3,pere_interdit,1608,1
A46,I,I/A46.md,Érysipèle,0,true,true,true,0,codable,1993,1
A48,I,I/A48.md,"Autres maladies bactériennes, non classées ailleurs",6,true,true,true,3,pere_interdit,3319,1
A49,I,I/A49.md,"Infection bactérienne, siège non précisé",6,true,true,true,3,pere_interdit,3216,1
A50,I,I/A50.md,Syphilis congénitale,9,true,true,true,3,pere_interdit,6597,1
A51,I,I/A51.md,Syphilis précoce,7,true,true,true,3,pere_interdit,3874,1
A52,I,I/A52.md,Syphilis tardive,7,true,true,true,3,pere_interdit,6805,1
A53,I,I/A53.md,"Syphilis, autres et sans précision",2,true,true,true,3,pere_interdit,2200,1
A54,I,I/A54.md,Infection gonococcique,9,true,true,true,3,pere_interdit,5075,1
A55,I,I/A55.md,Lymphogranulomatose vénérienne à Chlamydia,0,true,true,true,0,codable,2125,1
A56,I,I/A56.md,Autres infections à Chlamydia transmises par voie sexuelle,6,true,true,true,3,pere_interdit,3259,1
