dagger_code,dagger_label,asterisk_code,asterisk_label,combination_labels,levels_present,redundancy_level,rationale,curated_by,curated_date,_orphan
(A00-B99),certaines maladies infectieuses et parasitaires,G53.1,paralysie de plusieurs nerfs crâniens au cours de maladies infectieuses et parasitaires classées ailleurs,paralysie de plusieurs nerfs crâniens au cours de maladies infectieuses et parasitaires classées ailleurs,G,independent,,RF,21/05/2026,false
(A00-B99),certaines maladies infectieuses et parasitaires,G94.0,hydrocéphalie au cours de maladies infectieuses et parasitaires classées ailleurs,hydrocéphalie au cours de maladies infectieuses et parasitaires classées ailleurs,G,independent,,RF,21/05/2026,false
(B15-B19),hépatite virale,M03.2,autres arthropathies post-infectieuses au cours de maladies classées ailleurs,arthropathie post-infectieuse au cours de hépatite virale,H,independent,,RF,21/05/2026,false
(B35-B49),mycoses,M01.6,arthrite au cours de mycoses,arthrite au cours de mycoses,G,independent,,RF,21/05/2026,false
(B35-B49),mycoses,M63.2,myosite au cours d'autres maladies infectieuses classées ailleurs,myosite au cours de mycoses,H,independent,,RF,21/05/2026,false
(C00-C75),tumeurs malignes,G13.0,neuromyopathie et neuropathie paranéoplasiques,neuromyopathie carcinomateuse,H,independent,,RF,21/05/2026,false
(C00-D48),tumeurs,D63.0,anémie au cours de maladies tumorales,anémie au cours de maladies tumorales,G,independent,,RF,21/05/2026,false
(C00-D48),tumeurs,G13.0,neuromyopathie et neuropathie paranéoplasiques,neuropathie sensitive paranéoplasique [Denny-Brown],H,independent,,RF,21/05/2026,false
(C00-D48),tumeurs,G13.1,autres affections dégénératives systémiques affectant principalement le système nerveux central au cours de maladies tumorales,encéphalopathie limbique paranéoplasique,H,independent,,RF,21/05/2026,false
(C00-D48),tumeurs,G53.3,paralysie de plusieurs nerfs crâniens au cours de maladies tumorales,paralysie de plusieurs nerfs crâniens au cours de maladies tumorales,G,independent,,RF,21/05/2026,false
(C00-D48),tumeurs,G55.0,compression des racines et des plexus nerveux au cours de maladies tumorales,compression des racines et des plexus nerveux au cours de maladies tumorales,G,independent,,RF,21/05/2026,false
(C00-D48),tumeurs,G63.1,polynévrite au cours de maladies tumorales,polynévrite au cours de maladies tumorales,G,independent,,RF,21/05/2026,false
(C00-D48),tumeurs,G73.2,autres syndromes myasthéniques au cours de maladies tumorales,autres syndromes myasthéniques au cours de maladies tumorales,G,independent,,RF,21/05/2026,false
(C00-D48),tumeurs,G94.1,hydrocéphalie au cours de maladies tumorales,hydrocéphalie au cours de maladies tumorales,G,independent,,RF,21/05/2026,false
(C00-D48),tumeurs,G99.2,myélopathies au cours de maladies classées ailleurs,myélopathie au cours de maladies tumorales,H,independent,,RF,21/05/2026,false
(C00-D48),tumeurs,M36.0,dermato(poly)myosite au cours de maladies tumorales,dermato(poly)myosite au cours de maladies tumorales,G,independent,,RF,21/05/2026,false
(C00-D48),tumeurs,M36.1,arthropathie au cours de maladies tumorales classées ailleurs,arthropathie au cours de maladies tumorales classées ailleurs,G,independent,,RF,21/05/2026,false
(C00-D48),tumeurs,M90.6,ostéite déformante au cours de maladies tumorales,ostéite déformante au cours de maladies tumorales,G,independent,,RF,21/05/2026,false
(C00-D48),tumeurs,M90.7,fracture osseuse au cours de maladies tumorales,fracture osseuse au cours de maladies tumorales,G,independent,,RF,21/05/2026,false
(D50-D53),anémies nutritionnelles,M36.3,arthropathie au cours d'autres maladies du sang classées ailleurs,arthropathie au cours d'autres maladies du sang classées ailleurs,G,independent,,RF,21/05/2026,false
(D50-D53),anémies nutritionnelles,M90.4,ostéonécrose due à une hémoglobinopathie,ostéonécrose due à une hémoglobinopathie,G,independent,,RF,21/05/2026,false
(D55-D59),anémies hémolytiques,M36.3,arthropathie au cours d'autres maladies du sang classées ailleurs,arthropathie au cours d'autres maladies du sang classées ailleurs,G,independent,,RF,21/05/2026,false
(D55-D59),anémies hémolytiques,M90.4,ostéonécrose due à une hémoglobinopathie,ostéonécrose due à une hémoglobinopathie,G,independent,,RF,21/05/2026,false
(D60-D64),aplasies médullaires et autres anémies,M36.3,arthropathie au cours d'autres maladies du sang classées ailleurs,arthropathie au cours d'autres maladies du sang classées ailleurs,G,independent,,RF,21/05/2026,false
(D60-D64),aplasies médullaires et autres anémies,M90.4,ostéonécrose due à une hémoglobinopathie,ostéonécrose due à une hémoglobinopathie,G,independent,,RF,21/05/2026,false
(D65-D69),"anomalies de la coagulation, purpura et autres affections hémorragiques",M36.3,arthropathie au cours d'autres maladies du sang classées ailleurs,arthropathie au cours d'autres maladies du sang classées ailleurs,G,independent,,RF,21/05/2026,false
(E00-E07),affections de la glande thyroïde,G63.3,polynévrite au cours d'autres maladies endocriniennes et métaboliques,polynévrite au cours d'autres maladies endocriniennes et métaboliques,G,independent,,RF,21/05/2026,false
