association_id,dagger_code,dagger_label,asterisk_code,asterisk_label,combination_labels,levels_present,redundancy_level,source_lids
0,(A00-B99),certaines maladies infectieuses et parasitaires,G53.1,paralysie de plusieurs nerfs crâniens au cours de maladies infectieuses et parasitaires classées ailleurs,paralysie de plusieurs nerfs crâniens au cours de maladies infectieuses et parasitaires classées ailleurs,G,independent,3528
1,(A00-B99),certaines maladies infectieuses et parasitaires,G94.0,hydrocéphalie au cours de maladies infectieuses et parasitaires classées ailleurs,hydrocéphalie au cours de maladies infectieuses et parasitaires classées ailleurs,G,independent,3691
2,(B15-B19),hépatite virale,M03.2,autres arthropathies post-infectieuses au cours de maladies classées ailleurs,arthropathie post-infectieuse au cours de hépatite virale,H,independent,17827
3,(B35-B49),mycoses,M01.6,arthrite au cours de mycoses,arthrite au cours de mycoses,G,independent,5356
4,(B35-B49),mycoses,M63.2,myosite au cours d'autres maladies infectieuses classées ailleurs,myosite au cours de mycoses,H,independent,19585
5,(C00-C75),tumeurs malignes,G13.0,neuromyopathie et neuropathie paranéoplasiques,neuromyopathie carcinomateuse,H,independent,15393
6,(C00-D48),tumeurs,D63.0,anémie au cours de maladies tumorales,anémie au cours de maladies tumorales,G,independent,1882
7,(C00-D48),tumeurs,G13.0,neuromyopathie et neuropathie paranéoplasiques,neuropathie sensitive paranéoplasique [Denny-Brown],H,independent,15394
8,(C00-D48),tumeurs,G13.1,autres affections dégénératives systémiques affectant principalement le système nerveux central au cours de maladies tumorales,encéphalopathie limbique paranéoplasique,H,independent,15395
9,(C00-D48),tumeurs,G53.3,paralysie de plusieurs nerfs crâniens au cours de maladies tumorales,paralysie de plusieurs nerfs crâniens au cours de maladies tumorales,G,independent,3530
10,(C00-D48),tumeurs,G55.0,compression des racines et des plexus nerveux au cours de maladies tumorales,compression des racines et des plexus nerveux au cours de maladies tumorales,G,independent,3544
11,(C00-D48),tumeurs,G63.1,polynévrite au cours de maladies tumorales,polynévrite au cours de maladies tumorales,G,independent,3596
12,(C00-D48),tumeurs,G73.2,autres syndromes myasthéniques au cours de maladies tumorales,autres syndromes myasthéniques au cours de maladies tumorales,G,independent,3629
13,(C00-D48),tumeurs,G94.1,hydrocéphalie au cours de maladies tumorales,hydrocéphalie au cours de maladies tumorales,G,independent,3692
14,(C00-D48),tumeurs,G99.2,myélopathies au cours de maladies classées ailleurs,myélopathie au cours de maladies tumorales,H,independent,15627
15,(C00-D48),tumeurs,M36.0,dermato(poly)myosite au cours de maladies tumorales,dermato(poly)myosite au cours de maladies tumorales,G,independent,5588
16,(C00-D48),tumeurs,M36.1,arthropathie au cours de maladies tumorales classées ailleurs,arthropathie au cours de maladies tumorales classées ailleurs,G,independent,5589
17,(C00-D48),tumeurs,M90.6,ostéite déformante au cours de maladies tumorales,ostéite déformante au cours de maladies tumorales,G,independent,5916
18,(C00-D48),tumeurs,M90.7,fracture osseuse au cours de maladies tumorales,fracture osseuse au cours de maladies tumorales,G,independent,5917
19,(D50-D53),anémies nutritionnelles,M36.3,arthropathie au cours d'autres maladies du sang classées ailleurs,arthropathie au cours d'autres maladies du sang classées ailleurs,G,independent,5591
20,(D50-D53),anémies nutritionnelles,M90.4,ostéonécrose due à une hémoglobinopathie,ostéonécrose due à une hémoglobinopathie,G,independent,5914
21,(D55-D59),anémies hémolytiques,M36.3,arthropathie au cours d'autres maladies du sang classées ailleurs,arthropathie au cours d'autres maladies du sang classées ailleurs,G,independent,5591
22,(D55-D59),anémies hémolytiques,M90.4,ostéonécrose due à une hémoglobinopathie,ostéonécrose due à une hémoglobinopathie,G,independent,5914
23,(D60-D64),aplasies médullaires et autres anémies,M36.3,arthropathie au cours d'autres maladies du sang classées ailleurs,arthropathie au cours d'autres maladies du sang classées ailleurs,G,independent,5591
24,(D60-D64),aplasies médullaires et autres anémies,M90.4,ostéonécrose due à une hémoglobinopathie,ostéonécrose due à une hémoglobinopathie,G,independent,5914
25,(D65-D69),"anomalies de la coagulation, purpura et autres affections hémorragiques",M36.3,arthropathie au cours d'autres maladies du sang classées ailleurs,arthropathie au cours d'autres maladies du sang classées ailleurs,G,independent,5591
26,(E00-E07),affections de la glande thyroïde,G63.3,polynévrite au cours d'autres maladies endocriniennes et métaboliques,polynévrite au cours d'autres maladies endocriniennes et métaboliques,G,independent,3598
27,(E00-E07),affections de la glande thyroïde,M82.1,ostéoporose au cours de maladies endocriniennes,ostéoporose au cours de maladies endocriniennes,G,independent,5848
28,(E10-E14),diabète sucré,M82.1,ostéoporose au cours de maladies endocriniennes,ostéoporose au cours de maladies endocriniennes,G,independent,5848
29,(E15-E16),autres anomalies de la régulation du glucose et de la sécrétion pancréatique interne,G63.3,polynévrite au cours d'autres maladies endocriniennes et métaboliques,polynévrite au cours d'autres maladies endocriniennes et métaboliques,G,independent,3598
30,(E15-E16),autres anomalies de la régulation du glucose et de la sécrétion pancréatique interne,M82.1,ostéoporose au cours de maladies endocriniennes,ostéoporose au cours de maladies endocriniennes,G,independent,5848
31,(E40-E46),malnutrition,G63.4,polynévrite par carence nutritionnelle,polynévrite par carence nutritionnelle,G,independent,3599
32,(E40-E46),malnutrition,H28.1,"cataracte au cours d'autres maladies endocriniennes, nutritionnelles et métaboliques",cataracte au cours de malnutrition-déshydratation,H,independent,15811
33,(E50-E64),autres carences nutritionnelles,G63.4,polynévrite par carence nutritionnelle,polynévrite par carence nutritionnelle,G,independent,3599
34,(M00-M25),arthropathies,G63.6,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,G,independent,3601
35,(M40-M54),dorsopathies,G63.6,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,G,independent,3601
36,(M60-M79),affections des tissus mous,G63.6,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,G,independent,3601
37,(M80-M94),ostéopathies et chondropathies,G63.6,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,polynévrite au cours d'autres affections ostéo-articulaires et des muscles,G,independent,3601
38,(T36-T50),intoxications par des médicaments et des substances biologiques,F02.8,démence au cours d'autres maladies classées ailleurs,démence au cours de intoxications,H,independent,14405
39,(T51-T65),effets toxiques de substances d'origine essentiellement non médicinale,F02.8,démence au cours d'autres maladies classées ailleurs,démence au cours de intoxications,H,independent,14405
40,A01,fièvres typhoïde et paratyphoïde,M01.3,arthrite au cours d'autres maladies bactériennes classées ailleurs,arthrite (au cours de) fièvre typhoïde ou paratyphoïde,H,independent,17690
41,A01,fièvres typhoïde et paratyphoïde,M49.2,spondylite entérobactérienne,spondylite entérobactérienne,G,independent,5655
42,A01.0,fièvre typhoïde,G01,méningite au cours d'affections bactériennes classées ailleurs,méningite (au cours de) fièvre typhoïde,H,independent,15305
43,A01.0,fièvre typhoïde,I39,endocardite et atteintes valvulaires cardiaques au cours de maladies classées ailleurs,atteinte de l'endocarde (à) (au cours de) typhoïdique,H,independent,27026
44,A01.0,fièvre typhoïde,J17.0,pneumopathie au cours de maladies bactériennes classées ailleurs,pneumopathie (au cours de) (due à) fièvre typhoïde,H,independent,16574
45,A02,autres salmonelloses,M49.2,spondylite entérobactérienne,spondylite entérobactérienne,G,independent,5655
46,A02.2,infection localisée à Salmonella,G01,méningite au cours d'affections bactériennes classées ailleurs,méningite à Salmonella | méningite (au cours de) infection à Salmonella,"H,U",independent,"12326,15303"
47,A02.2,infection localisée à Salmonella,J17.0,pneumopathie au cours de maladies bactériennes classées ailleurs,pneumopathie à Salmonella | pneumopathie (au cours de) (due à) salmonellose,"H,U",independent,"12322,16576"
48,A02.2,infection localisée à Salmonella,M01.3,arthrite au cours d'autres maladies bactériennes classées ailleurs,arthrite à Salmonella | arthrite (au cours de) infection localisée à Salmonella,"H,U",independent,"12325,17689"
49,A02.2,infection localisée à Salmonella,M90.2,ostéopathie au cours d'autres maladies infectieuses classées ailleurs,ostéomyélite à Salmonella | ostéomyélite due à Salmonella,"H,U",independent,"12323,20748"
50,A02.2,infection localisée à Salmonella,N16.0,maladie rénale tubulo-interstitielle au cours de maladies infectieuses et parasitaires classées ailleurs,maladie rénale tubulo-interstitielle à Salmonella | maladie rénale tubulo-interstitielle au cours de salmonellose,"H,U",independent,"12324,21076"
