dimension,valeur,count
total,codes,42897
total,codables_mco,40419
statut_x_type,cause_externe|2,26536
statut_x_type,codable|0,13366
statut_x_type,interdit_dp|4,76
statut_x_type,interdit_dp_dr|1,441
statut_x_type,pere_interdit|3,2077
statut_x_type,supprime|3,401
supprime_millesime,06,25
supprime_millesime,09,81
supprime_millesime,10,2
supprime_millesime,11,24
supprime_millesime,12,1
supprime_millesime,14,23
supprime_millesime,16,49
supprime_millesime,17,78
supprime_millesime,19,112
supprime_millesime,22,1
supprime_millesime,99,5
