code,label,path,depth,code_atih,type_mco,statut_mco
I70.00,"Athérosclérose de l'aorte, sans gangrène",IX/I70-I79/I70/I70.0/I70.00,4,I7000,0,codable
I70.01,"Athérosclérose de l'aorte, avec gangrène",IX/I70-I79/I70/I70.0/I70.01,4,I7001,0,codable
I70.80,"Athérosclérose d'autres artères, sans gangrène",IX/I70-I79/I70/I70.8/I70.80,4,I7080,0,codable
I70.81,"Athérosclérose d'autres artères, avec gangrène",IX/I70-I79/I70/I70.8/I70.81,4,I7081,0,codable
I70.90,"Athérosclérose généralisée et sans précision, sans gangrène",IX/I70-I79/I70/I70.9/I70.90,4,I7090,0,codable
I70.91,"Athérosclérose généralisée et sans précision, avec gangrène",IX/I70-I79/I70/I70.9/I70.91,4,I7091,0,codable
J96.100,Insuffisance respiratoire chronique obstructive de type I [hypoxique],X/J95-J99/J96/J96.1/J96.10/J96.100,5,J96100,0,codable
J96.101,Insuffisance respiratoire chronique restrictive de type I [hypoxique],X/J95-J99/J96/J96.1/J96.10/J96.101,5,J96101,0,codable
J96.110,Insuffisance respiratoire chronique obstructive de type II [hypercapnique],X/J95-J99/J96/J96.1/J96.11/J96.110,5,J96110,0,codable
J96.111,Insuffisance respiratoire chronique restrictive de type II [hypercapnique],X/J95-J99/J96/J96.1/J96.11/J96.111,5,J96111,0,codable
J96.190,"Insuffisance respiratoire chronique obstructive, type non précisé",X/J95-J99/J96/J96.1/J96.19/J96.190,5,J96190,0,codable
J96.191,"Insuffisance respiratoire chronique restrictive, type non précisé",X/J95-J99/J96/J96.1/J96.19/J96.191,5,J96191,0,codable
M11.90,"Arthropathie due à des microcristaux, sans précision - Sièges multiples",XIII/M00-M25/M05-M14/M11/M11.9/M11.90,5,M1190,0,codable
M11.91,"Arthropathie due à des microcristaux, sans précision - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire",XIII/M00-M25/M05-M14/M11/M11.9/M11.91,5,M1191,0,codable
M11.92,"Arthropathie due à des microcristaux, sans précision - Articulation du coude",XIII/M00-M25/M05-M14/M11/M11.9/M11.92,5,M1192,0,codable
M11.93,"Arthropathie due à des microcristaux, sans précision - Articulation du poignet",XIII/M00-M25/M05-M14/M11/M11.9/M11.93,5,M1193,0,codable
M11.94,"Arthropathie due à des microcristaux, sans précision - Articulations de la main",XIII/M00-M25/M05-M14/M11/M11.9/M11.94,5,M1194,0,codable
M11.95,"Arthropathie due à des microcristaux, sans précision - Articulations de la hanche et sacro-iliaque",XIII/M00-M25/M05-M14/M11/M11.9/M11.95,5,M1195,0,codable
M11.96,"Arthropathie due à des microcristaux, sans précision - Articulation du genou",XIII/M00-M25/M05-M14/M11/M11.9/M11.96,5,M1196,0,codable
M11.97,"Arthropathie due à des microcristaux, sans précision - Articulations de la cheville et du pied",XIII/M00-M25/M05-M14/M11/M11.9/M11.97,5,M1197,0,codable
M11.98,"Arthropathie due à des microcristaux, sans précision - Autres articulations",XIII/M00-M25/M05-M14/M11/M11.9/M11.98,5,M1198,0,codable
M11.99,"Arthropathie due à des microcristaux, sans précision - Siège non précisé",XIII/M00-M25/M05-M14/M11/M11.9/M11.99,5,M1199,0,codable
M13.00,"Polyarthrite, sans précision - Sièges multiples",XIII/M00-M25/M05-M14/M13/M13.0/M13.00,5,M1300,0,codable
