chapitre,conservee,normalisee_R3,ecartee_R1,ecartee_R3,candidates
II,28019,298,0,1185,29502
IX,16128,500,0,1350,17978
XIX,19,703,11104,3213,15039
XX,0,0,13005,0,13005
XI,7575,884,0,1355,9814
I,5067,1765,0,2860,9692
XXI,12,366,7332,1317,9027
X,6572,514,0,799,7885
VI,5442,474,0,949,6865
XVIII,5546,495,0,473,6514
XVII,2830,1086,0,2191,6107
XIV,2944,775,0,1404,5123
IV,2855,674,0,1131,4660
XII,3219,542,0,666,4427
XVI,2313,185,0,1298,3796
XV,499,223,0,2546,3268
III,1881,402,0,569,2852
V,1579,267,0,694,2540
VII,690,550,0,524,1764
XIII,872,101,0,230,1203
VIII,186,118,0,235,539
XXII,7,0,0,0,7
