code_atih,type_mco,libelle_long,classe,sous_classe,code_maitre,ancetre_maitre
A000,0,"Choléra à Vibrio cholerae 01, biovar cholerae",fiche (écriture directe),"",A00.0,""
A001,0,"Choléra à Vibrio cholerae 01, biovar El Tor",fiche (écriture directe),"",A00.1,""
A009,0,"Choléra, sans précision",fiche (écriture directe),"",A00.9,""
A010,0,Fièvre typhoïde,fiche (écriture directe),"",A01.0,""
A011,0,Paratyphoïde A,fiche (écriture directe),"",A01.1,""
A012,0,Paratyphoïde B,fiche (écriture directe),"",A01.2,""
A013,0,Paratyphoïde C,fiche (écriture directe),"",A01.3,""
A014,0,"Paratyphoïde, sans précision",fiche (écriture directe),"",A01.4,""
A020,0,Entérite à Salmonella,fiche (écriture directe),"",A02.0,""
A021,0,Sepsis à Salmonella,fiche (écriture directe),"",A02.1,""
A022,0,Infection localisée à Salmonella,fiche (écriture directe),"",A02.2,""
A028,0,Autres infections précisées à Salmonella,fiche (écriture directe),"",A02.8,""
A029,0,"Salmonellose, sans précision",fiche (écriture directe),"",A02.9,""
A030,0,Shigellose à Shigella dysenteriae,fiche (écriture directe),"",A03.0,""
A031,0,Shigellose à Shigella flexneri,fiche (écriture directe),"",A03.1,""
A032,0,Shigellose à Shigella boydii,fiche (écriture directe),"",A03.2,""
A033,0,Shigellose à Shigella sonnei,fiche (écriture directe),"",A03.3,""
A038,0,Autres shigelloses,fiche (écriture directe),"",A03.8,""
A039,0,"Shigellose, sans précision",fiche (écriture directe),"",A03.9,""
A040,0,Infection entéropathogène à Escherichia coli,fiche (écriture directe),"",A04.0,""
A041,0,Infection entérotoxigène à Escherichia coli,fiche (écriture directe),"",A04.1,""
A042,0,Infection entéro-invasive à Escherichia coli,fiche (écriture directe),"",A04.2,""
A043,0,Infection entéro-hémorragique à Escherichia coli,fiche (écriture directe),"",A04.3,""
A044,0,Autres infections intestinales à Escherichia coli,fiche (écriture directe),"",A04.4,""
A045,0,Entérite à Campylobacter,fiche (écriture directe),"",A04.5,""
A046,0,Entérite à Yersinia enterocolitica,fiche (écriture directe),"",A04.6,""
A047,0,Entérocolite à Clostridium difficile,fiche (écriture directe),"",A04.7,""
A048,0,Autres infections intestinales bactériennes précisées,fiche (écriture directe),"",A04.8,""
A049,0,"Infection intestinale bactérienne, sans précision",fiche (écriture directe),"",A04.9,""
A050,0,Intoxication alimentaire à staphylocoques,fiche (écriture directe),"",A05.0,""
A051,0,Botulisme,fiche (écriture directe),"",A05.1,""
A052,0,Intoxication alimentaire à Clostridium perfringens [Clostridium welchii],fiche (écriture directe),"",A05.2,""
A053,0,Intoxication alimentaire à Vibrio parahaemolyticus,fiche (écriture directe),"",A05.3,""
A054,0,Intoxication alimentaire à Bacillus cereus,fiche (écriture directe),"",A05.4,""
A058,0,Autres intoxications bactériennes d'origine alimentaire précisées,fiche (écriture directe),"",A05.8,""
