code_atih,type_mco,libelle_long,classe,sous_classe,code_maitre,ancetre_maitre
B180,0,Hépatite virale chronique B avec agent delta,niveau intermédiaire autorisé,descendants tous avec fiche,B18.0,""
B181,0,Hépatite virale chronique B sans agent delta,niveau intermédiaire autorisé,descendants tous avec fiche,B18.1,""
B24+0,0,Pré-SIDA (A.R.C.) sans précision,notation divergente,code à + ponctué (A99.+9),B24.+0,""
B24+1,0,SIDA avéré sans précision,notation divergente,code à + ponctué (A99.+9),B24.+1,""
B24+9,0,"Infection par le V.I.H., sans précision",notation divergente,code à + ponctué (A99.+9),B24.+9,""
B99+0,0,Autres maladies infectieuses précisées,notation divergente,code à + ponctué (A99.+9),B99.+0,""
B99+1,0,Syndrome infectieux sans cause trouvée,notation divergente,code à + ponctué (A99.+9),B99.+1,""
C118,0,Tumeur maligne à localisations contiguës de rhinopharynx,feuille du nested set sans ligne au maître,"",C11.8,""
C169,0,"Tumeur maligne de l'estomac, sans précision",niveau intermédiaire autorisé,descendants tous avec fiche,C16.9,""
C189,0,"Tumeur maligne du côlon, sans précision",niveau intermédiaire autorisé,descendants tous avec fiche,C18.9,""
C254,0,Tumeur maligne du pancréas endocrine,niveau intermédiaire autorisé,descendants tous avec fiche,C25.4,""
C259,0,"Tumeur maligne du pancréas, sans précision",niveau intermédiaire autorisé,descendants partiellement avec fiche (0/2),C25.9,""
C259+0,0,"Tumeur maligne du pancréas, familiale",feuille du nested set sans ligne au maître,"",C25.9+0,""
C259+8,0,"Tumeur maligne du pancréas, autre et non précisée",feuille du nested set sans ligne au maître,"",C25.9+8,""
D126,0,"Tumeur bénigne du côlon, sans précision",niveau intermédiaire autorisé,descendants tous avec fiche,D12.6,""
F000,0,"Démence de la maladie d'Alzheimer, à début précoce (G30.0)",niveau intermédiaire autorisé,descendants tous avec fiche,F00.0,""
F0000,0,"Démence de la maladie d'Alzheimer, à début précoce, sans symptôme supplémentaire",niveau intermédiaire autorisé,descendants tous avec fiche,F00.00,""
F0001,0,"Démence de la maladie d'Alzheimer, à début précoce, avec symptômes essentiellement délirants",niveau intermédiaire autorisé,descendants tous avec fiche,F00.01,""
F0002,0,"Démence de la maladie d'Alzheimer, à début précoce, avec symptômes essentiellement hallucinatoires",niveau intermédiaire autorisé,descendants tous avec fiche,F00.02,""
F0003,0,"Démence de la maladie d'Alzheimer, à début précoce, avec symptômes essentiellement dépressifs",niveau intermédiaire autorisé,descendants tous avec fiche,F00.03,""
F0004,0,"Démence de la maladie d'Alzheimer, à début précoce, avec symptômes mixtes",niveau intermédiaire autorisé,descendants tous avec fiche,F00.04,""
F001,0,"Démence de la maladie d'Alzheimer, à début tardif (G30.1)",niveau intermédiaire autorisé,descendants tous avec fiche,F00.1,""
F0010,0,"Démence de la maladie d'Alzheimer, à début tardif, sans symptôme supplémentaire",niveau intermédiaire autorisé,descendants tous avec fiche,F00.10,""
F0011,0,"Démence de la maladie d'Alzheimer, à début tardif, avec symptômes essentiellement délirants",niveau intermédiaire autorisé,descendants tous avec fiche,F00.11,""
F0012,0,"Démence de la maladie d'Alzheimer, à début tardif, avec symptômes essentiellement hallucinatoires",niveau intermédiaire autorisé,descendants tous avec fiche,F00.12,""
F0013,0,"Démence de la maladie d'Alzheimer, à début tardif, avec symptômes essentiellement dépressifs",niveau intermédiaire autorisé,descendants tous avec fiche,F00.13,""
F0014,0,"Démence de la maladie d'Alzheimer, à début tardif, avec symptômes mixtes",niveau intermédiaire autorisé,descendants tous avec fiche,F00.14,""
F002,0,"Démence de la maladie d'Alzheimer, forme atypique ou mixte (G30.8)",niveau intermédiaire autorisé,descendants tous avec fiche,F00.2,""
F0020,0,"Démence de la maladie d'Alzheimer, forme atypique ou mixte, sans symptôme supplémentaire",niveau intermédiaire autorisé,descendants tous avec fiche,F00.20,""
F0021,0,"Démence de la maladie d'Alzheimer, forme atypique ou mixte, avec symptômes essentiellement délirants",niveau intermédiaire autorisé,descendants tous avec fiche,F00.21,""
F0022,0,"Démence de la maladie d'Alzheimer, forme atypique ou mixte, avec symptômes essentiellement hallucinatoires",niveau intermédiaire autorisé,descendants tous avec fiche,F00.22,""
F0023,0,"Démence de la maladie d'Alzheimer, forme atypique ou mixte, avec symptômes essentiellement dépressifs",niveau intermédiaire autorisé,descendants tous avec fiche,F00.23,""
F0024,0,"Démence de la maladie d'Alzheimer, forme atypique ou mixte, avec symptômes mixtes",niveau intermédiaire autorisé,descendants tous avec fiche,F00.24,""
F009,0,"Démence de la maladie d'Alzheimer, sans précision (G30.9)",niveau intermédiaire autorisé,descendants tous avec fiche,F00.9,""
F0090,0,"Démence de la maladie d'Alzheimer, sans précision, sans symptôme supplémentaire",niveau intermédiaire autorisé,descendants tous avec fiche,F00.90,""
F0091,0,"Démence de la maladie d'Alzheimer, sans précision, avec symptômes essentiellement délirants",niveau intermédiaire autorisé,descendants tous avec fiche,F00.91,""
F0092,0,"Démence de la maladie d'Alzheimer, sans précision, avec symptômes essentiellement hallucinatoires",niveau intermédiaire autorisé,descendants tous avec fiche,F00.92,""
F0093,0,"Démence de la maladie d'Alzheimer, sans précision, avec symptômes essentiellement dépressifs",niveau intermédiaire autorisé,descendants tous avec fiche,F00.93,""
F0094,0,"Démence de la maladie d'Alzheimer, sans précision, avec symptômes mixtes",niveau intermédiaire autorisé,descendants tous avec fiche,F00.94,""
F010,0,Démence vasculaire à début aigu,niveau intermédiaire autorisé,descendants tous avec fiche,F01.0,""
F0100,0,"Démence vasculaire à début aigu, sans symptôme supplémentaire",niveau intermédiaire autorisé,descendants tous avec fiche,F01.00,""
F0101,0,"Démence vasculaire à début aigu, avec symptômes essentiellement délirants",niveau intermédiaire autorisé,descendants tous avec fiche,F01.01,""
F0102,0,"Démence vasculaire à début aigu, avec symptômes essentiellement hallucinatoires",niveau intermédiaire autorisé,descendants tous avec fiche,F01.02,""
F0103,0,"Démence vasculaire à début aigu, avec symptômes essentiellement dépressifs",niveau intermédiaire autorisé,descendants tous avec fiche,F01.03,""
F0104,0,"Démence vasculaire à début aigu, avec symptômes mixtes",niveau intermédiaire autorisé,descendants tous avec fiche,F01.04,""
F011,0,Démence vasculaire par infarctus multiples,niveau intermédiaire autorisé,descendants tous avec fiche,F01.1,""
F0110,0,"Démence par infarctus multiples, sans symptôme supplémentaire",niveau intermédiaire autorisé,descendants tous avec fiche,F01.10,""
F0111,0,"Démence par infarctus multiples, avec symptômes essentiellement délirants",niveau intermédiaire autorisé,descendants tous avec fiche,F01.11,""
F0112,0,"Démence par infarctus multiples, avec symptômes essentiellement hallucinatoires",niveau intermédiaire autorisé,descendants tous avec fiche,F01.12,""
F0113,0,"Démence par infarctus multiples, avec symptômes essentiellement dépressifs",niveau intermédiaire autorisé,descendants tous avec fiche,F01.13,""
F0114,0,"Démence par infarctus multiples, avec symptômes mixtes",niveau intermédiaire autorisé,descendants tous avec fiche,F01.14,""
F012,0,Démence vasculaire sous-corticale,niveau intermédiaire autorisé,descendants tous avec fiche,F01.2,""
F0120,0,"Démence vasculaire souscorticale, sans symptôme supplémentaire",niveau intermédiaire autorisé,descendants tous avec fiche,F01.20,""
F0121,0,"Démence vasculaire souscorticale, avec symptômes essentiellement délirants",niveau intermédiaire autorisé,descendants tous avec fiche,F01.21,""
F0122,0,"Démence vasculaire souscorticale, avec symptômes essentiellement hallucinatoires",niveau intermédiaire autorisé,descendants tous avec fiche,F01.22,""
F0123,0,"Démence vasculaire souscorticale, avec symptômes essentiellement dépressifs",niveau intermédiaire autorisé,descendants tous avec fiche,F01.23,""
F0124,0,"Démence vasculaire souscorticale, avec symptômes mixtes",niveau intermédiaire autorisé,descendants tous avec fiche,F01.24,""
F013,0,"Démence vasculaire mixte, corticale et sous-corticale",niveau intermédiaire autorisé,descendants tous avec fiche,F01.3,""
F0130,0,"Démence vasculaire mixte, corticale et souscorticale, sans symptôme supplémentaire",niveau intermédiaire autorisé,descendants tous avec fiche,F01.30,""
F0131,0,"Démence vasculaire mixte, corticale et souscorticale, avec symptômes essentiellement délirants",niveau intermédiaire autorisé,descendants tous avec fiche,F01.31,""
F0132,0,"Démence vasculaire mixte, corticale et souscorticale, avec symptômes essentiellement hallucinatoires",niveau intermédiaire autorisé,descendants tous avec fiche,F01.32,""
F0133,0,"Démence vasculaire mixte, corticale et souscorticale, avec symptômes essentiellement dépressifs",niveau intermédiaire autorisé,descendants tous avec fiche,F01.33,""
F0134,0,"Démence vasculaire mixte, corticale et souscorticale, avec d'autres symptômes, mixtes",niveau intermédiaire autorisé,descendants tous avec fiche,F01.34,""
F018,0,Autres formes de démence vasculaire,niveau intermédiaire autorisé,descendants tous avec fiche,F01.8,""
F0180,0,"Autres formes de démence vasculaire, sans symptôme supplémentaire",niveau intermédiaire autorisé,descendants tous avec fiche,F01.80,""
F0181,0,"Autres formes de démence vasculaire, avec symptômes essentiellement délirants",niveau intermédiaire autorisé,descendants tous avec fiche,F01.81,""
F0182,0,"Autres formes de démence vasculaire, avec symptômes essentiellement hallucinatoires",niveau intermédiaire autorisé,descendants tous avec fiche,F01.82,""
F0183,0,"Autres formes de démence vasculaire, avec symptômes essentiellement dépressifs",niveau intermédiaire autorisé,descendants tous avec fiche,F01.83,""
F0184,0,"Autres formes de démence vasculaire, avec symptômes mixtes",niveau intermédiaire autorisé,descendants tous avec fiche,F01.84,""
F019,0,"Démence vasculaire, sans précision",niveau intermédiaire autorisé,descendants tous avec fiche,F01.9,""
F0190,0,"Démence vasculaire, sans précision, sans symptôme supplémentaire",niveau intermédiaire autorisé,descendants tous avec fiche,F01.90,""
F0191,0,"Démence vasculaire, sans précision, avec symptômes essentiellement délirants",niveau intermédiaire autorisé,descendants tous avec fiche,F01.91,""
F0192,0,"Démence vasculaire, sans précision, avec symptômes essentiellement hallucinatoires",niveau intermédiaire autorisé,descendants tous avec fiche,F01.92,""
F0193,0,"Démence vasculaire, sans précision, avec symptômes essentiellement dépressifs",niveau intermédiaire autorisé,descendants tous avec fiche,F01.93,""
F0194,0,"Démence vasculaire, sans précision, avec symptômes mixtes",niveau intermédiaire autorisé,descendants tous avec fiche,F01.94,""
F020,0,Démence de la maladie de Pick (G31.0),niveau intermédiaire autorisé,descendants tous avec fiche,F02.0,""
F0200,0,"Démence de la maladie de Pick, sans symptôme supplémentaire",niveau intermédiaire autorisé,descendants tous avec fiche,F02.00,""
