code_maitre,cle,classe,sous_classe,code_atih,libelle
A00.0,A000,connu de l'ATIH,type MCO 0,A000,"À Vibrio cholerae 01, biovar cholerae"
A00.1,A001,connu de l'ATIH,type MCO 0,A001,"À Vibrio cholerae 01, biovar El Tor"
A00.9,A009,connu de l'ATIH,type MCO 0,A009,"Choléra, sans précision"
A01.0,A010,connu de l'ATIH,type MCO 0,A010,Fièvre typhoïde
A01.1,A011,connu de l'ATIH,type MCO 0,A011,Paratyphoïde A
A01.2,A012,connu de l'ATIH,type MCO 0,A012,Paratyphoïde B
A01.3,A013,connu de l'ATIH,type MCO 0,A013,Paratyphoïde C
A01.4,A014,connu de l'ATIH,type MCO 0,A014,"Paratyphoïde, sans précision"
A02.0,A020,connu de l'ATIH,type MCO 0,A020,Entérite à Salmonella
A02.1,A021,connu de l'ATIH,type MCO 0,A021,Sepsis  à Salmonella
A02.2,A022,connu de l'ATIH,type MCO 0,A022,Infection localisée à Salmonella
A02.8,A028,connu de l'ATIH,type MCO 0,A028,Autres infections précisées à Salmonella
A02.9,A029,connu de l'ATIH,type MCO 0,A029,"Salmonellose, sans précision"
A03.0,A030,connu de l'ATIH,type MCO 0,A030,Shigellose à Shigella dysenteriae
A03.1,A031,connu de l'ATIH,type MCO 0,A031,Shigellose à Shigella flexneri
A03.2,A032,connu de l'ATIH,type MCO 0,A032,Shigellose à Shigella boydii
A03.3,A033,connu de l'ATIH,type MCO 0,A033,Shigellose à Shigella sonnei
A03.8,A038,connu de l'ATIH,type MCO 0,A038,Autres shigelloses
A03.9,A039,connu de l'ATIH,type MCO 0,A039,"Shigellose, sans précision"
A04.0,A040,connu de l'ATIH,type MCO 0,A040,Infection entéropathogène à Escherichia coli
A04.1,A041,connu de l'ATIH,type MCO 0,A041,Infection entérotoxigène à Escherichia coli
A04.2,A042,connu de l'ATIH,type MCO 0,A042,Infection entéro-invasive à Escherichia coli
A04.3,A043,connu de l'ATIH,type MCO 0,A043,Infection entérohémorragique à Escherichia coli
A04.4,A044,connu de l'ATIH,type MCO 0,A044,Autres infections intestinales à Escherichia coli
A04.5,A045,connu de l'ATIH,type MCO 0,A045,Entérite à Campylobacter
A04.6,A046,connu de l'ATIH,type MCO 0,A046,Entérite à Yersinia enterocolitica
