code_maitre,cle,type_mco_atih,statut
A00,A00,3,père interdit (type 3)
A01,A01,3,père interdit (type 3)
A02,A02,3,père interdit (type 3)
A03,A03,3,père interdit (type 3)
A04,A04,3,père interdit (type 3)
A05,A05,3,père interdit (type 3)
A06,A06,3,père interdit (type 3)
A07,A07,3,père interdit (type 3)
A08,A08,3,père interdit (type 3)
A09,A09,3,père interdit (type 3)
A15,A15,3,père interdit (type 3)
A16,A16,3,père interdit (type 3)
A17,A17,3,père interdit (type 3)
A18,A18,3,père interdit (type 3)
A19,A19,3,père interdit (type 3)
A20,A20,3,père interdit (type 3)
A21,A21,3,père interdit (type 3)
A22,A22,3,père interdit (type 3)
A23,A23,3,père interdit (type 3)
A24,A24,3,père interdit (type 3)
A25,A25,3,père interdit (type 3)
A26,A26,3,père interdit (type 3)
A27,A27,3,père interdit (type 3)
A28,A28,3,père interdit (type 3)
A30,A30,3,père interdit (type 3)
A31,A31,3,père interdit (type 3)
A32,A32,3,père interdit (type 3)
A36,A36,3,père interdit (type 3)
A37,A37,3,père interdit (type 3)
A39,A39,3,père interdit (type 3)
A40,A40,3,père interdit (type 3)
A41,A41,3,père interdit (type 3)
A42,A42,3,père interdit (type 3)
A43,A43,3,père interdit (type 3)
A44,A44,3,père interdit (type 3)
A48,A48,3,père interdit (type 3)
A49,A49,3,père interdit (type 3)
A50,A50,3,père interdit (type 3)
A51,A51,3,père interdit (type 3)
A52,A52,3,père interdit (type 3)
A53,A53,3,père interdit (type 3)
A54,A54,3,père interdit (type 3)
A56,A56,3,père interdit (type 3)
A59,A59,3,père interdit (type 3)
A60,A60,3,père interdit (type 3)
A63,A63,3,père interdit (type 3)
A63.0,A630,3,père interdit (type 3)
A66,A66,3,père interdit (type 3)
A67,A67,3,père interdit (type 3)
A68,A68,3,père interdit (type 3)
A69,A69,3,père interdit (type 3)
A71,A71,3,père interdit (type 3)
A74,A74,3,père interdit (type 3)
A75,A75,3,père interdit (type 3)
A77,A77,3,père interdit (type 3)
A79,A79,3,père interdit (type 3)
A80,A80,3,père interdit (type 3)
A81,A81,3,père interdit (type 3)
A82,A82,3,père interdit (type 3)
A83,A83,3,père interdit (type 3)
A84,A84,3,père interdit (type 3)
A85,A85,3,père interdit (type 3)
A87,A87,3,père interdit (type 3)
A88,A88,3,père interdit (type 3)
A92,A92,3,père interdit (type 3)
A93,A93,3,père interdit (type 3)
A95,A95,3,père interdit (type 3)
A96,A96,3,père interdit (type 3)
A97,A97,3,père interdit (type 3)
A98,A98,3,père interdit (type 3)
B00,B00,3,père interdit (type 3)
B01,B01,3,père interdit (type 3)
B02,B02,3,père interdit (type 3)
B05,B05,3,père interdit (type 3)
B06,B06,3,père interdit (type 3)
B08,B08,3,père interdit (type 3)
B15,B15,3,père interdit (type 3)
B16,B16,3,père interdit (type 3)
B17,B17,3,père interdit (type 3)
B18,B18,3,père interdit (type 3)
B18.0,B180,0,autorisé MCO (type ≠ 3)
B18.1,B181,0,autorisé MCO (type ≠ 3)
B19,B19,3,père interdit (type 3)
B20,B20,3,père interdit (type 3)
B21,B21,3,père interdit (type 3)
B22,B22,3,père interdit (type 3)
B23,B23,3,père interdit (type 3)
B24,B24,3,père interdit (type 3)
B25,B25,3,père interdit (type 3)
B26,B26,3,père interdit (type 3)
B27,B27,3,père interdit (type 3)
B30,B30,3,père interdit (type 3)
B33,B33,3,père interdit (type 3)
B34,B34,3,père interdit (type 3)
B35,B35,3,père interdit (type 3)
B36,B36,3,père interdit (type 3)
B37,B37,3,père interdit (type 3)
B38,B38,3,père interdit (type 3)
B39,B39,3,père interdit (type 3)
B40,B40,3,père interdit (type 3)
B41,B41,3,père interdit (type 3)
B42,B42,3,père interdit (type 3)
B43,B43,3,père interdit (type 3)
B44,B44,3,père interdit (type 3)
B45,B45,3,père interdit (type 3)
B46,B46,3,père interdit (type 3)
B47,B47,3,père interdit (type 3)
B48,B48,3,père interdit (type 3)
B50,B50,3,père interdit (type 3)
B51,B51,3,père interdit (type 3)
B52,B52,3,père interdit (type 3)
B53,B53,3,père interdit (type 3)
B55,B55,3,père interdit (type 3)
B56,B56,3,père interdit (type 3)
B57,B57,3,père interdit (type 3)
B58,B58,3,père interdit (type 3)
B60,B60,3,père interdit (type 3)
B60.8,B608,3,père interdit (type 3)
B65,B65,3,père interdit (type 3)
B66,B66,3,père interdit (type 3)
B67,B67,3,père interdit (type 3)
B68,B68,3,père interdit (type 3)
B69,B69,3,père interdit (type 3)
B70,B70,3,père interdit (type 3)
B71,B71,3,père interdit (type 3)
B74,B74,3,père interdit (type 3)
B76,B76,3,père interdit (type 3)
B77,B77,3,père interdit (type 3)
B78,B78,3,père interdit (type 3)
B81,B81,3,père interdit (type 3)
B82,B82,3,père interdit (type 3)
B83,B83,3,père interdit (type 3)
B85,B85,3,père interdit (type 3)
B87,B87,3,père interdit (type 3)
B88,B88,3,père interdit (type 3)
B90,B90,3,père interdit (type 3)
B94,B94,3,père interdit (type 3)
B95,B95,3,père interdit (type 3)
B96,B96,3,père interdit (type 3)
B96.8,B968,3,père interdit (type 3)
B97,B97,3,père interdit (type 3)
B98,B98,3,père interdit (type 3)
B99,B99,3,père interdit (type 3)
C00,C00,3,père interdit (type 3)
C02,C02,3,père interdit (type 3)
C03,C03,3,père interdit (type 3)
C04,C04,3,père interdit (type 3)
C05,C05,3,père interdit (type 3)
C06,C06,3,père interdit (type 3)
C08,C08,3,père interdit (type 3)
C09,C09,3,père interdit (type 3)
C10,C10,3,père interdit (type 3)
C11,C11,3,père interdit (type 3)
C13,C13,3,père interdit (type 3)
C14,C14,3,père interdit (type 3)
C15,C15,3,père interdit (type 3)
C16,C16,3,père interdit (type 3)
C16.9,C169,0,autorisé MCO (type ≠ 3)
C17,C17,3,père interdit (type 3)
C18,C18,3,père interdit (type 3)
C18.9,C189,0,autorisé MCO (type ≠ 3)
C21,C21,3,père interdit (type 3)
C22,C22,3,père interdit (type 3)
C24,C24,3,père interdit (type 3)
C25,C25,3,père interdit (type 3)
C25.4,C254,0,autorisé MCO (type ≠ 3)
C25.9,C259,0,autorisé MCO (type ≠ 3)
C26,C26,3,père interdit (type 3)
C30,C30,3,père interdit (type 3)
C31,C31,3,père interdit (type 3)
C32,C32,3,père interdit (type 3)
C34,C34,3,père interdit (type 3)
C38,C38,3,père interdit (type 3)
C39,C39,3,père interdit (type 3)
C40,C40,3,père interdit (type 3)
C41,C41,3,père interdit (type 3)
C43,C43,3,père interdit (type 3)
C44,C44,3,père interdit (type 3)
C45,C45,3,père interdit (type 3)
C46,C46,3,père interdit (type 3)
C46.7,C467,3,père interdit (type 3)
C47,C47,3,père interdit (type 3)
C48,C48,3,père interdit (type 3)
C49,C49,3,père interdit (type 3)
C49.3,C493,3,père interdit (type 3)
C49.4,C494,3,père interdit (type 3)
C49.5,C495,3,père interdit (type 3)
C50,C50,3,père interdit (type 3)
C51,C51,3,père interdit (type 3)
C53,C53,3,père interdit (type 3)
C54,C54,3,père interdit (type 3)
C57,C57,3,père interdit (type 3)
C60,C60,3,père interdit (type 3)
C62,C62,3,père interdit (type 3)
C63,C63,3,père interdit (type 3)
C67,C67,3,père interdit (type 3)
C68,C68,3,père interdit (type 3)
C69,C69,3,père interdit (type 3)
C70,C70,3,père interdit (type 3)
C71,C71,3,père interdit (type 3)
C72,C72,3,père interdit (type 3)
C74,C74,3,père interdit (type 3)
C75,C75,3,père interdit (type 3)
C76,C76,3,père interdit (type 3)
C77,C77,3,père interdit (type 3)
C78,C78,3,père interdit (type 3)
C79,C79,3,père interdit (type 3)
C80,C80,3,père interdit (type 3)
C81,C81,3,père interdit (type 3)
C82,C82,3,père interdit (type 3)
C83,C83,3,père interdit (type 3)
C84,C84,3,père interdit (type 3)
C85,C85,3,père interdit (type 3)
C86,C86,3,père interdit (type 3)
C88,C88,3,père interdit (type 3)
C90,C90,3,père interdit (type 3)
C91,C91,3,père interdit (type 3)
C92,C92,3,père interdit (type 3)
C93,C93,3,père interdit (type 3)
C94,C94,3,père interdit (type 3)
C95,C95,3,père interdit (type 3)
C96,C96,3,père interdit (type 3)
D00,D00,3,père interdit (type 3)
D01,D01,3,père interdit (type 3)
D02,D02,3,père interdit (type 3)
D03,D03,3,père interdit (type 3)
D04,D04,3,père interdit (type 3)
D05,D05,3,père interdit (type 3)
D06,D06,3,père interdit (type 3)
D07,D07,3,père interdit (type 3)
D09,D09,3,père interdit (type 3)
D10,D10,3,père interdit (type 3)
D11,D11,3,père interdit (type 3)
D12,D12,3,père interdit (type 3)
D12.6,D126,0,autorisé MCO (type ≠ 3)
D13,D13,3,père interdit (type 3)
D13.9,D139,3,père interdit (type 3)
D14,D14,3,père interdit (type 3)
D15,D15,3,père interdit (type 3)
D16,D16,3,père interdit (type 3)
D17,D17,3,père interdit (type 3)
D18,D18,3,père interdit (type 3)
D19,D19,3,père interdit (type 3)
D20,D20,3,père interdit (type 3)
D21,D21,3,père interdit (type 3)
D21.3,D213,3,père interdit (type 3)
D21.4,D214,3,père interdit (type 3)
D21.5,D215,3,père interdit (type 3)
D22,D22,3,père interdit (type 3)
D23,D23,3,père interdit (type 3)
D25,D25,3,père interdit (type 3)
D26,D26,3,père interdit (type 3)
D28,D28,3,père interdit (type 3)
D29,D29,3,père interdit (type 3)
D30,D30,3,père interdit (type 3)
D31,D31,3,père interdit (type 3)
D32,D32,3,père interdit (type 3)
D33,D33,3,père interdit (type 3)
D35,D35,3,père interdit (type 3)
D36,D36,3,père interdit (type 3)
D37,D37,3,père interdit (type 3)
D38,D38,3,père interdit (type 3)
D39,D39,3,père interdit (type 3)
D40,D40,3,père interdit (type 3)
D41,D41,3,père interdit (type 3)
D42,D42,3,père interdit (type 3)
D43,D43,3,père interdit (type 3)
D44,D44,3,père interdit (type 3)
D44.4,D444,3,père interdit (type 3)
D46,D46,3,père interdit (type 3)
D47,D47,3,père interdit (type 3)
D48,D48,3,père interdit (type 3)
D48.3,D483,3,père interdit (type 3)
D50,D50,3,père interdit (type 3)
D51,D51,3,père interdit (type 3)
D52,D52,3,père interdit (type 3)
D53,D53,3,père interdit (type 3)
D55,D55,3,père interdit (type 3)
