dimension,value,count
total,pairs,1026
completeness,both_sides,720
completeness,dagger_only,37
completeness,asterisk_only,269
dagger_letter,(,40
dagger_letter,A,198
dagger_letter,B,129
dagger_letter,C,26
dagger_letter,D,28
dagger_letter,E,162
dagger_letter,G,14
dagger_letter,I,64
dagger_letter,J,10
dagger_letter,K,8
dagger_letter,L,10
dagger_letter,M,61
dagger_letter,N,3
dagger_letter,Q,1
dagger_letter,T,3
dagger_letter,NULL,269
levels_present,F,269
levels_present,H,230
levels_present,G,201
levels_present,"H,U",164
levels_present,"G,U",56
levels_present,"H,T",44
levels_present,S,37
levels_present,U,13
levels_present,"G,T",6
levels_present,"H,T,U",3
levels_present,T,2
levels_present,"T,U",1
nb_combination_labels,0,2
nb_combination_labels,1,815
nb_combination_labels,2_5,208
nb_combination_labels,6_plus,1
