code,libelle,source_externe,categorie_orphan
A90,Dengue (classique),INDEX_CIM10_VOL3,vraiment_orphan
A90,"Fièvre (de) (des) (due à), aden (voir aussi fièvre, dengue)",INDEX_CIM10_VOL3,vraiment_orphan
A90,"Fièvre (de) (des) (due à), dengue",INDEX_CIM10_VOL3,vraiment_orphan
A90,"Fièvre (de) (des) (due à), rouge (voir aussi fièvre, dengue)",INDEX_CIM10_VOL3,vraiment_orphan
A91,"Dengue (classique), fièvre hémorragique",INDEX_CIM10_VOL3,vraiment_orphan
A91,"Fièvre (de) (des) (due à), dengue, hémorragique",INDEX_CIM10_VOL3,vraiment_orphan
A91,"Fièvre (de) (des) (due à), hémorragique (transmise par des arthropodes), asie du sud-est",INDEX_CIM10_VOL3,vraiment_orphan
A91,"Fièvre (de) (des) (due à), hémorragique (transmise par des arthropodes), bangkok",INDEX_CIM10_VOL3,vraiment_orphan
A91,"Fièvre (de) (des) (due à), hémorragique (transmise par des arthropodes), philippines",INDEX_CIM10_VOL3,vraiment_orphan
A91,"Fièvre (de) (des) (due à), hémorragique (transmise par des arthropodes), singapour",INDEX_CIM10_VOL3,vraiment_orphan
A91,"Fièvre (de) (des) (due à), hémorragique (transmise par des arthropodes), thaïlande",INDEX_CIM10_VOL3,vraiment_orphan
B23.4,"Syndrome (de) - voir aussi maladie, infection aiguë par vih",INDEX_CIM10_VOL3,vraiment_orphan
B59,Pneumocystose,INDEX_CIM10_VOL3,vraiment_orphan
B59,"Pneumopathie, congénitale, interstitielle, plasmocyte",INDEX_CIM10_VOL3,vraiment_orphan
B59,"Pneumopathie, congénitale, plasmocyte",INDEX_CIM10_VOL3,vraiment_orphan
B59,"Pneumopathie, congénitale, pneumocystis carinii",INDEX_CIM10_VOL3,vraiment_orphan
B75.2,"Trypanosomiase, cruzi (voir aussi chagas, maladie de)",INDEX_CIM10_VOL3,vraiment_orphan
C83.2,"Lymphome (malin) (de) (m9590/3), lymphohistiocytaire, mixte (diffus) (m9675/3)",INDEX_CIM10_VOL3,vraiment_orphan
C83.2,"Lymphome (malin) (de) (m9590/3), mixte (lymphohistiocytaire) (diffus) (m9675/3)",INDEX_CIM10_VOL3,vraiment_orphan
C83.2,"Lymphome (malin) (de) (m9590/3), mixte (lymphohistiocytaire) (diffus) (m9675/3), lympho-histiocytaire (diffus) (m9675/3)",INDEX_CIM10_VOL3,vraiment_orphan
C83.2,"Lymphome (malin) (de) (m9590/3), mixte (lymphohistiocytaire) (diffus) (m9675/3), petites cellules et grandes cellules (diffus) (m9675/3)",INDEX_CIM10_VOL3,vraiment_orphan
C83.2,"Lymphome (malin) (de) (m9590/3), à petites cellules (diffus) (m9670/3), et grandes cellules, mixte (diffus) (m9675/3)",INDEX_CIM10_VOL3,vraiment_orphan
C83.2,Réticulolymphosarcome (diffus) (m9675/3),INDEX_CIM10_VOL3,vraiment_orphan
C83.4,Immunoblastosarcome (m9684/3),INDEX_CIM10_VOL3,vraiment_orphan
C83.4,"Lymphome (malin) (de) (m9590/3), immunoblastique (à grandes cellules) (diffus) (m9684/3)",INDEX_CIM10_VOL3,vraiment_orphan
C83.4,"Lymphosarcome (diffus) (m9592/3), immunoblastique (m9684/3)",INDEX_CIM10_VOL3,vraiment_orphan
C83.4,"Sarcome (de) (m8800/3) - voir aussi tumeur maligne, tissu, conjonctif, immunoblastique (m9684/3)",INDEX_CIM10_VOL3,vraiment_orphan
C83.6,"Lymphome (malin) (de) (m9590/3), indifférencié (diffus) (m9686/3)",INDEX_CIM10_VOL3,vraiment_orphan
C83.6,"Lymphome (malin) (de) (m9590/3), à cellules, indifférenciées (non burkitt) (m9686/3)",INDEX_CIM10_VOL3,vraiment_orphan
C84.2,"Lymphome (malin) (de) (m9590/3), zone t (m9703/3)",INDEX_CIM10_VOL3,vraiment_orphan
C84.3,"Lennert, lymphome de (m9704/3)",INDEX_CIM10_VOL3,vraiment_orphan
C84.3,"Lymphome (malin) (de) (m9590/3), lennert (m9704/3)",INDEX_CIM10_VOL3,vraiment_orphan
C84.3,"Lymphome (malin) (de) (m9590/3), lympho-épithélioïde (m9704/3)",INDEX_CIM10_VOL3,vraiment_orphan
C85.0,"Lymphome (malin) (de) (m9590/3), type, lymphosarcome (m9592/3)",INDEX_CIM10_VOL3,vraiment_orphan
C85.0,Lymphosarcome (diffus) (m9592/3),INDEX_CIM10_VOL3,vraiment_orphan
C88.1,"Maladie (à) (de) - voir aussi syndrome ou affection, chaînes lourdes, alpha (m9762/3)",INDEX_CIM10_VOL3,vraiment_orphan
C91.2,"Leucémie (congénitale) (à) (m9800/3), lymphatique (m9820/3), subaiguë (m9822/3)",INDEX_CIM10_VOL3,vraiment_orphan
C91.2,"Leucémie (congénitale) (à) (m9800/3), lymphocytaire (m9820/3), subaiguë (m9822/3)",INDEX_CIM10_VOL3,vraiment_orphan
C91.2,"Leucémie (congénitale) (à) (m9800/3), lymphoïde (m9820/3), subaiguë (m9822/3)",INDEX_CIM10_VOL3,vraiment_orphan
C93.2,"Leucémie (congénitale) (à) (m9800/3), monocytaire (type schilling) (m9890/3), subaiguë (m9892/3)",INDEX_CIM10_VOL3,vraiment_orphan
C93.2,"Leucémie (congénitale) (à) (m9800/3), monocytoïde (m9890/3), subaiguë (m9892/3)",INDEX_CIM10_VOL3,vraiment_orphan
C94.1,"Erythrémie (aiguë) (m9841/3), chronique (m9842/3)",INDEX_CIM10_VOL3,vraiment_orphan
C94.1,"Heilmeyer-schöner, maladie de (m9842/3)",INDEX_CIM10_VOL3,vraiment_orphan
C94.5,"Myélofibrose (avec métaplasie myéloïde) (m9961/1), aiguë (m9932/3)",INDEX_CIM10_VOL3,vraiment_orphan
C95.2,"Leucémie (congénitale) (à) (m9800/3), subaiguë (m9802/3) (voir aussi selon le type de cellules)",INDEX_CIM10_VOL3,vraiment_orphan
C96.1,"Arthropathie (à) (de) (voir aussi arthrite), associée à, au cours de, due à (voir aussi arthropathie, réactionnelle), histiocytose maligne (m9720/3)",INDEX_CIM10_VOL3,vraiment_orphan
