code,libelle_externe,libelle_ofs_ans,source_externe,source_ofs_ans,type_externe,type_ofs_ans,type_divergence,lid_ofs
Q52.1,Vagin cloisonné,"Vagin cloisonné
",ORPHANET,OWL_ANS,inclusion,inclusion,false,
Q07.8,Phénomène de Marcus-Gunn,Phénomène de Marcus Gunn,ORPHANET,OWL_ANS,inclusion,synonyme,true,
Q05.9,Myéloméningocèle,myéloméningocèle,ORPHANET,OFS,inclusion,inclusion,false,
A07.3,Isosporose,Isosporose,ORPHANET,OWL_ANS,synonyme,synonyme,false,
B87.1,Myiase traumatique,"Myiase traumatique
",ORPHANET,OWL_ANS,inclusion,inclusion,false,
E75.2,Maladie de Krabbe,Maladie de Krabbe,ORPHANET,OWL_ANS,inclusion,synonyme,true,
E75.0,Maladie de Sandhoff,Maladie de Sandhoff,ORPHANET,OWL_ANS,inclusion,synonyme,true,
N03.6,Glomérulonéphrite membranoproliférative type 2,"Glomérulonéphrite membranoproliférative, type 2
",ORPHANET,OWL_ANS,synonyme,inclusion,true,
Q13.8,Anomalie de Rieger,Anomalie de Rieger,ORPHANET,OWL_ANS,inclusion,synonyme,true,
E83.3,Hypophosphatasie,Hypophosphatasie,ORPHANET,OWL_ANS,inclusion,synonyme,true,
D89.1,Cryoglobulinémie mixte,Cryoglobulinémie mixte,ORPHANET,OWL_ANS,inclusion,synonyme,true,
E70.3,Syndrome de Cross,Syndrome de Cross,ORPHANET,OWL_ANS,inclusion,synonyme,true,
E26.8,Syndrome de Bartter,"Syndrome de Bartter
",ORPHANET,OWL_ANS,inclusion,inclusion,false,
Q44.7,Syndrome d'Alagille,Syndrome d'Alagille,ORPHANET,OWL_ANS,inclusion,synonyme,true,
Q13.8,Syndrome de Rieger,Syndrome de Rieger,ORPHANET,OWL_ANS,inclusion,synonyme,true,
L66.1,Lichen plan folliculaire,"Lichen plan folliculaire
",ORPHANET,OWL_ANS,synonyme,inclusion,true,
Q68.2,Genu recurvatum congénital,Genu recurvatum congénital,ORPHANET,OWL_ANS,inclusion,synonyme,true,
E78.6,Déficit en lécithine-cholestérol-acyltransférase,Déficit en lécithine-cholestérol-acyltransférase,ORPHANET,OWL_ANS,inclusion,synonyme,true,
O01.0,Môle hydatiforme complète,"Môle hydatiforme complète
",ORPHANET,OWL_ANS,synonyme,inclusion,true,
E78.6,Maladie de Tangier,Maladie de Tangier,ORPHANET,OWL_ANS,inclusion,synonyme,true,
Q75.4,Syndrome de Treacher-Collins,Syndrome de Treacher Collins,ORPHANET,OWL_ANS,inclusion,synonyme,true,
A78,Infection à Coxiella burnetii,Infection à Coxiella burnetii,ORPHANET,OWL_ANS,synonyme,synonyme,false,
D68.2,Hypoproconvertinémie,Hypoproconvertinémie,ORPHANET,OWL_ANS,inclusion,synonyme,true,
E71.1,Acidémie propionique,Acidémie propionique,ORPHANET,OWL_ANS,inclusion,synonyme,true,
E74.2,Déficit en galactokinase,Déficit en galactokinase,ORPHANET,OWL_ANS,inclusion,synonyme,true,
J61,Asbestose,"Asbestose
",ORPHANET,OWL_ANS,inclusion,inclusion,false,
Q79.2,Omphalocèle,"Omphalocèle
",ORPHANET,OWL_ANS,inclusion,inclusion,false,
E16.4,Syndrome de Zollinger-Ellison,Syndrome de Zollinger–Ellison,ORPHANET,OWL_ANS,inclusion,synonyme,true,
Q61.4,Dysplasie rénale multikystique,Dysplasie rénale multikystique,ORPHANET,OWL_ANS,inclusion,synonyme,true,
A69.0,Noma,Noma,ORPHANET,OWL_ANS,synonyme,synonyme,false,
E76.0,Syndrome de Scheie,Syndrome de Scheie,ORPHANET,OWL_ANS,inclusion,synonyme,true,
C92.0,LAM M0,LAM M0,ORPHANET,OWL_ANS,inclusion,synonyme,true,
B75,Trichinellose,Trichinellose,ORPHANET,OWL_ANS,synonyme,synonyme,false,
B60.8,Microsporidiose,"Microsporidiose
",ORPHANET,OWL_ANS,inclusion,inclusion,false,
J84.1,Fibrose pulmonaire idiopathique,Fibrose pulmonaire idiopathique,ORPHANET,OWL_ANS,inclusion,synonyme,true,
Q85.8,Syndrome de Sturge-Weber-Dimitri,Syndrome de Sturge–Weber(–Dimitri),ORPHANET,OWL_ANS,inclusion,synonyme,true,
F81.2,Syndrome de Gerstmann,Syndrome de Gerstmann,ORPHANET,OWL_ANS,inclusion,synonyme,true,
C96.2,Mastocytose systémique agressive,Mastocytose systémique agressive,ORPHANET,OWL_ANS,inclusion,synonyme,true,
Q64.4,Kyste de l'ouraque,Kyste de l'ouraque,ORPHANET,OWL_ANS,inclusion,synonyme,true,
Q61.9,Syndrome de Meckel-Gruber,"Syndrome de Meckel–Gruber
",ORPHANET,OWL_ANS,inclusion,inclusion,false,
G60.0,Syndrome de Roussy-Lévy,Syndrome de Roussy–Lévy,ORPHANET,OWL_ANS,inclusion,synonyme,true,
K00.5,Dysplasie de la dentine,Dysplasie de la dentine,ORPHANET,OWL_ANS,inclusion,synonyme,true,
D89.1,Cryoglobulinémie essentielle,Cryoglobulinémie essentielle,ORPHANET,OWL_ANS,inclusion,synonyme,true,
L93.2,Panniculite lupique,Panniculite lupique,ORPHANET,OWL_ANS,inclusion,synonyme,true,
E70.3,Syndrome de Hermansky-Pudlak,Syndrome de Hermansky–Pudlak,ORPHANET,OWL_ANS,inclusion,synonyme,true,
E74.0,Maladie de von Gierke,Maladie de von Gierke,ORPHANET,OWL_ANS,inclusion,synonyme,true,
E72.5,Hyperglycinémie non cétosique,Hyperglycinémie non cétosique,ORPHANET,OWL_ANS,inclusion,synonyme,true,
Q13.8,Syndrome d'Axenfeld-Rieger,Syndrome d'Axenfeld-Rieger,ORPHANET,OWL_ANS,inclusion,synonyme,true,
K10.8,Chérubisme,Chérubisme,ORPHANET,OWL_ANS,inclusion,synonyme,true,
Q10.3,Colobome de la paupière,Colobome de la paupière,ORPHANET,OWL_ANS,inclusion,synonyme,true,
Q77.4,Hypochondroplasie,Hypochondroplasie,ORPHANET,OWL_ANS,inclusion,synonyme,true,
Q74.1,Luxation congénitale de la rotule,Luxation congénitale de la rotule,ORPHANET,OWL_ANS,inclusion,synonyme,true,
G40.3,Convulsions néonatales bénignes familiales,convulsions néonatales bénignes (familiales),ORPHANET,OFS,inclusion,synonyme,true,
M89.4,Pachydermopériostose,Pachydermopériostose,ORPHANET,OWL_ANS,inclusion,synonyme,true,
A25.0,Sodoku,"Sodoku
",ORPHANET,OWL_ANS,synonyme,inclusion,true,
