source,entries_loaded,entries_absorbed,entries_orphan,entries_dropped_non_terminal,entries_added_to_csv,pct_absorbed
ORPHANET,18794,262,0,122,18410,0.0139
INDEX_CIM10_VOL3,41507,775,229,1241,39262,0.0187
APHP_DERMATOLOGIE,1828,213,15,13,1587,0.1165
APHP_ENDOCRINOLOGIE,298,10,0,23,265,0.0336
APHP_GERMES,256,0,1,62,193,0.0
APHP_GRONES,146,2,2,16,126,0.0137
APHP_METABOLISME,268,46,0,1,221,0.1716
APHP_NEPHROLOGIE,711,87,7,27,590,0.1224
APHP_OPHTALMOLOGIE,444,162,1,0,281,0.3649
APHP_RHUMATOLOGIE,1038,42,7,3,986,0.0405
APHP_SRLF,50,2,1,1,46,0.04
CEPIDC_2015,146948,1658,6927,9871,128492,0.0113
