indicateur,valeur
associations_curees,397
associations_ensemble,4
codes_touches,15045
couples_rec_code,18489
expressions_traduites,5
granularite_CATEGORIE,1260
granularite_CHAPITRE,14669
granularite_CODE,255
granularite_PLAGE,2305
recommandations,170
role_DAS,458
role_DP,449
role_DR,44
role_contexte,73
role_interdit,14329
role_interdit_DAS,63
role_interdit_DP,51
role_interdit_DR,208
role_interdit_association,147
role_regi,2667
type_condition_emploi,54
type_definition,39
type_interdiction,18
type_regle_association,5
type_regle_position,54
