code,field,owl_value,ofs_value,resolved_to
A02.1,label,Sepsis  à Salmonella,septicémie à Salmonella,OWL_ANS
A04.3,label,Infection entérohémorragique à Escherichia coli,infection entéro-hémorragique à Escherichia coli,OWL_ANS
A05,label,"Autres intoxications bactériennes d'origine alimentaire, non classées ailleurs",autres intoxications bactériennes d'origine alimentaire,OWL_ANS
A06.3,label,Amœbome de l'intestin,amoebome de l'intestin,OWL_ANS
A08.1,label,Gastroentéropathie aigüe due à un norovirus,gastro-entéropathie aiguë à l'agent de Norwalk,OWL_ANS
A09,label,Autres gastroentérites et colites d'origine infectieuse et non précisée,diarrhée et gastro-entérite d'origine présumée infectieuse,OWL_ANS
A18.4,label,Tuberculose de la peau et du tissu cellulaire souscutané,tuberculose de la peau et du tissu cellulaire sous-cutané,OWL_ANS
A18.5,label,Tuberculose de l'œil,tuberculose de l'oeil,OWL_ANS
A21.0,label,Tularémie ulcéroglandulaire,tularémie ulcéro­glandulaire,OWL_ANS
A21.1,label,Tularémie oculoglandulaire,tularémie oculo-glandulaire,OWL_ANS
A22.7,label,Sepsis charbonneux,septicémie charbonneuse,OWL_ANS
A26.7,label,Sepsis à Erysipelothrix,septicémie à Erysipelothrix,OWL_ANS
A27.0,label,Leptospirose ictérohémorragique,leptospirose ictéro-hémorragique,OWL_ANS
A32.1,label,Méningite et méningoencéphalite listériennes,méningite et méningo-encéphalite listériennes,OWL_ANS
A32.7,label,Sepsis listérien,septicémie listérienne,OWL_ANS
A33,label,Tétanos du nouveau-né,tétanos néonatal,OWL_ANS
A40,label,Sepsis à streptocoques,septicémie à streptocoques,OWL_ANS
A40.0,label,"Sepsis à streptocoques, groupe A","septicémie à streptocoques, groupe A",OWL_ANS
A40.1,label,"Sepsis à streptocoques, groupe B","septicémie à streptocoques, groupe B",OWL_ANS
A40.2,label,Sepsis à streptocoques groupe D et entérocoques,"septicémie à streptocoques, groupe D",OWL_ANS
A40.3,label,Sepsis à Streptococcus pneumoniae,septicémie à Streptococcus pneumoniae,OWL_ANS
A40.8,label,Autres sepsis à streptocoques,autres septicémies à streptocoques,OWL_ANS
A40.9,label,"Sepsis à streptocoques, sans précision","septicémie à streptocoques, sans précision",OWL_ANS
A41,label,Autres sepsis,autres septicémies,OWL_ANS
A41.0,label,Sepsis à staphylocoques dorés,septicémie à staphylocoques dorés,OWL_ANS
A41.1,label,Sepsis à d'autres staphylocoques précisés,septicémie à d'autres staphylocoques précisés,OWL_ANS
A41.2,label,Sepsis à staphylocoques non précisés,septicémie à staphylocoques non précisés,OWL_ANS
A41.3,label,Sepsis à Haemophilus influenzae,septicémie à Haemophilus influenzae,OWL_ANS
A41.4,label,Sepsis à microorganismes anaérobies,septicémie à micro-organismes anaérobies,OWL_ANS
A41.5,label,Sepsis à d'autres microorganismes Gram négatif,septicémie à d'autres micro-organismes Gram négatif,OWL_ANS
A41.8,label,Autres sepsis précisés,autres septicémies précisées,OWL_ANS
A41.9,label,"Sepsis, sans précision","septicémie, sans précision",OWL_ANS
A42.2,label,Actinomycose cervicofaciale,actinomycose cervico-faciale,OWL_ANS
A42.7,label,Sepsis actinomycosique,septicémie actinomycosique,OWL_ANS
A44.1,label,Bartonellose cutanée et cutanéomuqueuse,bartonellose cutanée et cutanéo-muqueuse,OWL_ANS
A49.0,label,"Infection à staphylocoques, siège non précisé","infection à staphylocoques, sans précision",OWL_ANS
A49.1,label,"Infection à streptocoques et entérocoques, siège non précisé","infection à streptocoques, sans précision",OWL_ANS
A49.2,label,"Infection à Haemophilus influenzae, siège non précisé","infection à Haemophilus influenzae, sans précision",OWL_ANS
