code,type,texte_retenu,texte_alternatif_ans,libelles_identiques_apres_normalisation,difference_significative
A02,inclusion,"infection ou intoxication alimentaire due à toute espèce de Salmonella, sauf S. typhi et S. paratyphi",,true,false
A04,exclusion,entérite tuberculeuse,"entérite tuberculeuse [A18.3]
intoxications d'origine alimentaire classées ailleurs
",false,true
A04,exclusion,intoxications bactériennes d'origine alimentaire,"entérite tuberculeuse [A18.3]
intoxications d'origine alimentaire classées ailleurs
",false,true
A04.6,exclusion,yersiniose extra-intestinale,"yersiniose extra-intestinale [A28.2]
",false,true
A05,exclusion,effets toxiques de denrées alimentaires nocives,"effets toxiques de denrées alimentaires nocives [T61-T62]
infection à Escherichia coli [A04.0-A04.4]
intoxication et infection alimentaires à Salmonella [A02.-]
intoxication et infection d’origine alimentaire à Clostridium difficile [A04.7]
listériose [A32.-]
",false,true
A05,exclusion,infection à Escherichia coli,"effets toxiques de denrées alimentaires nocives [T61-T62]
infection à Escherichia coli [A04.0-A04.4]
intoxication et infection alimentaires à Salmonella [A02.-]
intoxication et infection d’origine alimentaire à Clostridium difficile [A04.7]
listériose [A32.-]
",false,true
A05,exclusion,intoxication et infection alimentaires à Salmonella,"effets toxiques de denrées alimentaires nocives [T61-T62]
infection à Escherichia coli [A04.0-A04.4]
intoxication et infection alimentaires à Salmonella [A02.-]
intoxication et infection d’origine alimentaire à Clostridium difficile [A04.7]
listériose [A32.-]
",false,true
A05,exclusion,listériose,"effets toxiques de denrées alimentaires nocives [T61-T62]
infection à Escherichia coli [A04.0-A04.4]
intoxication et infection alimentaires à Salmonella [A02.-]
intoxication et infection d’origine alimentaire à Clostridium difficile [A04.7]
listériose [A32.-]
",false,true
A06,exclusion,autres maladies intestinales à protozoaires,"autres maladies intestinales à protozoaires [A07.-]
",false,true
A06,inclusion,infection à Entamoeba histolytica,,true,false
A08,exclusion,grippe avec atteinte gastro-intestinale,"grippe avec atteinte gastro-intestinale [J09]  [J10.8]  [J11.8]
",false,true
A09,exclusion,diarrhée non infectieuse,"diarrhée non infectieuse  [K52.9]  - du nouveau-né [P78.3] 
maladies dues à des bactéries, des protozoaires, des virus et d'autres agents infectieux précisés [A00-A08] 
",false,true
A09,exclusion,diarrhée non infectieuse néonatale,"diarrhée non infectieuse  [K52.9]  - du nouveau-né [P78.3] 
maladies dues à des bactéries, des protozoaires, des virus et d'autres agents infectieux précisés [A00-A08] 
",false,true
A09,exclusion,"maladies dues à des bactéries, des protozoaires, des virus et d'autres agents infectieux précisés","diarrhée non infectieuse  [K52.9]  - du nouveau-né [P78.3] 
maladies dues à des bactéries, des protozoaires, des virus et d'autres agents infectieux précisés [A00-A08] 
",false,true
A15-A19,exclusion,pneumoconiose associée à une tuberculose,"immunodéficience humaine virale [VIH] à l'origine de tuberculose [B20.0]
pneumoconiose associée à une tuberculose [J65]
séquelles de tuberculose [B90.-]
silicotuberculose [J65]
tuberculose congénitale [P37.0]
",false,true
A15-A19,exclusion,silico-tuberculose,"immunodéficience humaine virale [VIH] à l'origine de tuberculose [B20.0]
pneumoconiose associée à une tuberculose [J65]
séquelles de tuberculose [B90.-]
silicotuberculose [J65]
tuberculose congénitale [P37.0]
",false,true
A15-A19,exclusion,séquelles de tuberculose,"immunodéficience humaine virale [VIH] à l'origine de tuberculose [B20.0]
pneumoconiose associée à une tuberculose [J65]
séquelles de tuberculose [B90.-]
silicotuberculose [J65]
tuberculose congénitale [P37.0]
",false,true
A15-A19,exclusion,tuberculose congénitale,"immunodéficience humaine virale [VIH] à l'origine de tuberculose [B20.0]
pneumoconiose associée à une tuberculose [J65]
séquelles de tuberculose [B90.-]
silicotuberculose [J65]
tuberculose congénitale [P37.0]
",false,true
A15-A19,inclusion,infections à Mycobacterium tuberculosis et Mycobacterium bovis,,true,false
A15.4,exclusion,précisée comme primo-infection,"précisée comme primo-infection [A15.7]
",false,true
