code,abbrev,label,type
(A00-B99),(A00-B99),certaines maladies infectieuses et parasitaires,chapter
(A90-A99),(A90-A99),fièvres virales transmises par des arthropodes et fièvres virales hémorragiques,block
(B95-B97),(B95-B97),"agents d'infections bactériennes, virales et autres",block
(C00-D48),(C00-D48),tumeurs,chapter
(D50-D89),(D50-D89),maladies du sang et des organes hématopoïétiques et certains troubles du système immunitaire,chapter
(E00-E90),(E00-E90),"maladies endocriniennes, nutritionnelles et métaboliques",chapter
(F00-F99),(F00-F99),troubles mentaux et du comportement,chapter
(G00-G99),(G00-G99),maladies du système nerveux,chapter
(G10-G13),(G10-G13),affections dégénératives systémiques affectant principalement le système nerveux central,block
(H00-H59),(H00-H59),maladies de l'oeil et de ses annexes,chapter
(H60-H95),(H60-H95),maladies de l'oreille et de l'apophyse mastoïde,chapter
(I00-I99),(I00-I99),maladies de l'appareil circulatoire,chapter
(J00-J99),(J00-J99),maladies de l'appareil respiratoire,chapter
(K00-K93),(K00-K93),maladies de l'appareil digestif,chapter
(K55-K63),(K55-K63),autres maladies de l'intestin,block
(L00-L99),(L00-L99),maladies de la peau et du tissu cellulaire sous-cutané,chapter
(M00-M99),(M00-M99),"maladies du système ostéo-articulaire, des muscles et du tissu conjonctif",chapter
(N00-N99),(N00-N99),maladies de l'appareil génito-urinaire,chapter
(O00-O99),(O00-O99),"grossesse, accouchement et puerpéralité",chapter
(O95-O99),(O95-O99),"autres problèmes obstétricaux, non classés ailleurs",block
(P00-P96),(P00-P96),certaines affections dont l'origine se situe dans la période périnatale,chapter
(Q00-Q99),(Q00-Q99),malformations congénitales et anomalies chromosomiques,chapter
(R00-R99),(R00-R99),"symptômes, signes et résultats anormaux d'examens cliniques et de laboratoire, non classés ailleurs",chapter
(S00-T98),(S00-T98),"lésions traumatiques, empoisonnements et certaines autres conséquences de causes externes",chapter
(V01-Y98),(V01-Y98),causes externes de morbidité et de mortalité,chapter
(Z00-Z99),(Z00-Z99),facteurs influant sur l'état de santé et motifs de recours aux services de santé,chapter
A90,A90,dengue [dengue classique],category
A91,A91,fièvre hémorragique due au virus de la dengue,category
B59,B59,pneumocystose,category
C83.2,C832,mélange de petites et grandes cellules (diffus),category
C83.4,C834,immunoblastique (diffus),category
C83.6,C836,indifférencié (diffus),category
C84.2,C842,lymphome de la zone T,category
C84.3,C843,lymphome lympho-épithélioïde,category
C85.0,C850,lymphosarcome,category
C88.1,C881,maladie des chaînes lourdes alpha,category
C91.2,C912,leucémie lymphoïde subaiguë,category
C93.2,C932,leucémie monocytaire subaiguë,category
C94.1,C941,polyglobulie primitive chronique,category
C94.5,C945,myélofibrose aiguë,category
C95.2,C952,leucémie subaiguë à cellules non précisées,category
C96.1,C961,histiocytose maligne,category
C96.3,C963,lymphome histiocytaire vrai,category
D46.3,D463,anémie réfractaire avec excès de blastes en transformation,category
D75.2,D752,thrombocytose essentielle,category
D76.0,D760,"histiocytose des cellules de Langerhans, non classée ailleurs",category
F66.00,F6600,trouble de la maturation sexuelle | hétérosexualité,category
F66.01,F6601,trouble de la maturation sexuelle | homosexualité,category
F66.02,F6602,trouble de la maturation sexuelle | bisexualité,category
F66.08,F6608,"trouble de la maturation sexuelle | autre, y compris prépubertaire",category
F66.10,F6610,orientation sexuelle égodystonique | hétérosexualité,category
F66.11,F6611,orientation sexuelle égodystonique | homosexualité,category
F66.12,F6612,orientation sexuelle égodystonique | bisexualité,category
F66.18,F6618,"orientation sexuelle égodystonique | autre, y compris prépubertaire",category
F66.20,F6620,problème sexuel relationnel | hétérosexualité,category
F66.21,F6621,problème sexuel relationnel | homosexualité,category
F66.22,F6622,problème sexuel relationnel | bisexualité,category
F66.28,F6628,"problème sexuel relationnel | autre, y compris prépubertaire",category
F66.80,F6680,autres troubles du développement psychosexuel | hétérosexualité,category
F66.81,F6681,autres troubles du développement psychosexuel | homosexualité,category
F66.82,F6682,autres troubles du développement psychosexuel | bisexualité,category
F66.88,F6688,"autres troubles du développement psychosexuel | autre, y compris prépubertaire",category
F66.90,F6690,"trouble du développement psychosexuel, sans précision | hétérosexualité",category
F66.91,F6691,"trouble du développement psychosexuel, sans précision | homosexualité",category
F66.92,F6692,"trouble du développement psychosexuel, sans précision | bisexualité",category
F66.98,F6698,"trouble du développement psychosexuel, sans précision | autre, y compris prépubertaire",category
G56.4,G564,causalgie,category
G90.3,G903,dégénérescence disséminée,category
H54.7,H547,"perte de vision, sans précision",category
I84,I84,hémorroïdes,category
I84.0,I840,hémorroïdes internes thrombosées,category
I84.1,I841,hémorroïdes internes avec autres complications,category
I84.2,I842,"hémorroïdes internes, sans complication",category
I84.3,I843,hémorroïdes externes thrombosées,category
I84.4,I844,hémorroïdes externes avec d'autres complications,category
I84.5,I845,"hémorroïdes externes, sans complication",category
I84.6,I846,cicatrices hémorroïdaires cutanées résiduelles,category
I84.7,I847,hémorroïdes thrombosées non précisées,category
I84.8,I848,hémorroïdes non précisées avec d'autres complications,category
I84.9,I849,"hémorroïdes sans complication, sans précision",category
K35.0,K350,appendicite aiguë avec péritonite généralisée,category
K35.1,K351,appendicite aiguë avec abcès péritonéal,category
K35.9,K359,"appendicite aiguë, sans précision",category
K51.1,K511,iléo-colite ulcéreuse (chronique),category
K58.0,K580,"syndrome de l'intestin irritable, avec diarrhée",category
K58.9,K589,"syndrome de l'intestin irritable, sans diarrhée",category
L41.2,L412,papulose lymphomatoïde,category
