code,label,type,depth
A09.0,"Gastroentérites et colites d’origine infectieuse, autres et non précisées",category,3
A09.9,Gastroentérite et colite d’origine non précisée,category,3
A63.00,Condylomes anaux (vénériens),category,4
A63.08,Autres condylomes anogénitaux (vénériens),category,4
A92-A99,Fièvres virales transmises par des arthropodes et fièvres virales hémorragiques,block,1
A92.5,Maladie due au virus Zika,category,3
A97,Dengue,category,2
A97.0,Dengue sans signe d'alerte,category,3
A97.1,Dengue avec signes d'alerte,category,3
A97.2,Dengue sévère,category,3
A97.9,"Dengue, sans précision",category,3
B17.9,"Hépatite virale aigüe, sans précision",category,3
B18.00,"Hépatite virale chronique B avec agent delta - "" phase d'immunotolérance """,category,4
B18.09,"Hépatite virale chronique B avec agent delta - "" phase autre et non spécifiée """,category,4
B18.10,"Hépatite virale chronique B sans agent delta - "" phase d'immunotolérance """,category,4
B18.19,"Hépatite virale chronique B sans agent delta - "" phase autre et non spécifiée """,category,4
B24.+0,"Pré-SIDA [ARC], sans précision",category,3
B24.+1,"SIDA avéré, sans précision",category,3
B24.+9,"Infection par le VIH, sans précision",category,3
B33.4,Syndrome (cardio)pulmonaire à virus Hanta [hantavirus] [SPH] [SCPH] ,category,3
B48.5,Pneumocystose,category,3
B60.80,Microsporidiose extra-intestinale,category,4
B60.88,Maladie précisée due à d’autres protozoaires,category,4
B95-B98,"Agents d'infections bactériennes, virales et autres",block,1
B96.80,"Acinetobacter (A. baumannii), cause de maladies classées dans d'autres chapitres",category,4
B96.81,"Citrobacter, cause de maladies classées dans d'autres chapitres",category,4
B96.88,"Autres agents bactériens précisés, cause de maladies classées dans d'autres chapitres",category,4
B98,"Autres agents infectieux précisés, cause de maladies classées dans d'autres chapitres",category,2
B98.0,"Helicobacter pylori [H. pylori], cause de maladies classées dans d'autres chapitres",category,3
B98.1,"Vibrio vulnificus, cause de maladies classées dans d'autres chapitres",category,3
B99-B99,Autres maladies infectieuses,block,1
B99.+0,Autres maladies infectieuses précisées,category,3
B99.+1,Syndrome infectieux sans cause trouvée,category,3
C00-C97,Tumeurs malignes,block,1
C16.9+0,"Tumeur maligne de l'estomac, familiale liée au gène CDH 1",category,6
C16.9+8,"Tumeurs malignes de l'estomac, autres et non précisées",category,6
C18.9+0,Syndrome de Lynch,category,6
C18.9+8,"Tumeurs malignes du côlon, autres et non précisées",category,6
C25.4+0,Tumeur maligne du pancréas endocrine avec néoplasie endocrine multiple de type I [NEM 1],category,6
C25.4+8,"Tumeur maligne du pancréas endocrine, autre et non précisée",category,6
C25.9+0,"Tumeur maligne du pancréas, familiale",category,6
C25.9+8,"Tumeur maligne du pancréas, autre et non précisée",category,6
C46.70,Sarcome de Kaposi de la sphère O.R.L.,category,6
C46.71,Sarcome de Kaposi digestif,category,6
C46.72,Sarcome de Kaposi pulmonaire,category,6
C46.78,Sarcome de Kaposi d'autres localisations,category,6
C49.30,Tumeur maligne des vaisseaux (sanguins) (lymphatiques) du thorax,category,6
C49.38,Autres tumeurs malignes du tissu conjonctif et autres tissus mous du thorax,category,6
C49.40,Tumeur maligne des vaisseaux (sanguins) (lymphatiques) de l'abdomen,category,6
C49.48,Autres tumeurs malignes du tissu conjonctif et autres tissus mous de l'abdomen,category,6
C49.50,Tumeur maligne des vaisseaux (sanguins) (lymphatiques) du bassin,category,6
C49.58,Autres tumeurs malignes du tissu conjonctif et autres tissus mous du bassin,category,6
C50-C50,Tumeur maligne du sein,block,3
C79.9,Tumeur maligne secondaire de siège non précisé,category,4
C80.0,"Tumeur maligne de siège primitif non précisé, ainsi décrit",category,4
C80.9,Tumeur maligne de siège primitif non précisé,category,4
C81.4,"Lymphome de Hodgkin (classique), riche en lymphocytes",category,4
C82.3,"Lymphome folliculaire, grade IIIa",category,4
C82.4,"Lymphome folliculaire, grade IIIb",category,4
C82.5,Lymphome centrofolliculaire diffus,category,4
C82.6,Lymphome centrofolliculaire cutané,category,4
C84.6,Lymphome anaplasique à grandes cellules ALK positives,category,4
C84.7,Lymphome anaplasique à grandes cellules ALK négatives,category,4
C84.8,"Lymphome cutané à cellules T, sans précision",category,4
C84.9,"Lymphome à cellules T/NK matures, sans précision",category,4
C85.2,Lymphome médiastinal (thymique) à grandes cellules B,category,4
C86,Autres types précisés de lymphomes à cellules T/NK,category,3
C86.0,"Lymphome extranodal à cellules T/NK, type nasal",category,4
C86.1,Lymphome hépatosplénique à cellules T,category,4
C86.2,"Lymphome (intestinal) à cellules T, type entéropathique",category,4
C86.3,Lymphome à cellules T simulant une panniculite,category,4
C86.4,Lymphome à cellules NK blastiques,category,4
C86.5,Lymphome angio-immunoblastique à cellules T,category,4
C86.6,Syndrome lymphoprolifératif cutané primitif à cellules T CD30 positives,category,4
C88.4,Lymphome de la zone marginale à cellules B des tissus lymphoïdes associés aux muqueuses [lymphome MALT],category,4
C90.3,Plasmocytome solitaire,category,4
C91.6,Leucémie à prolymphocytes à cellules T,category,4
C91.8,"Leucémie à cellules B matures, de type Burkitt",category,4
C92.6,Leucémie myéloïde aigüe avec anomalies 11q23,category,4
C92.8,Leucémie myéloïde aigüe avec dysplasie de plusieurs lignées cellulaires,category,4
C93.3,Leucémie myélomonocytaire juvénile,category,4
C94.6,"Maladie myélodysplasique et myéloproliférative, non classée ailleurs",category,4
C96.4,Sarcome à cellules dendritiques (cellules accessoires),category,4
C96.5,Histiocytose à cellules de Langerhans multifocale et unisystémique,category,4
C96.6,Histiocytose à cellules de Langerhans unifocale,category,4
C96.8,Sarcome histiocytaire,category,4
C97-C97,Tumeurs malignes de sièges multiples indépendants (primitifs),block,2
D12.6+0,Polypose (colique) familiale adénomateuse,category,4
D12.6+1,Polypose (colique) liée au gène APC,category,4
D12.6+2,Polypose (colique) liée au gène MYH,category,4
D12.6+3,Polypose (colique) festonnée,category,4
D12.6+4,Polypose (colique) juvénile,category,4
D12.6+5,Polypose (colique) au cours du syndrome de Peutz–Jeghers,category,4
D12.6+6,Polypose (colique) au cours de la maladie de Cowden,category,4
D12.6+8,"Tumeurs bénignes du côlon, autres et non précisées",category,4
D13.90,Tumeur bénigne de la rate,category,4
D21.30,Tumeur bénigne des vaisseaux (sanguins) (lymphatiques) du thorax,category,4
D21.38,Autres tumeurs bénignes du tissu conjonctif et autres tissus mous du thorax,category,4
D21.40,Tumeur bénigne des vaisseaux (sanguins) (lymphatiques) de l'abdomen,category,4
D21.48,Autres tumeurs bénignes du tissu conjonctif et autres tissus mous de l'abdomen,category,4
D21.50,Tumeur bénigne des vaisseaux (sanguins) (lymphatiques) du bassin,category,4
D21.58,Autres tumeurs bénignes du tissu conjonctif et autres tissus mous du bassin,category,4
D44.40,Craniopharyngiome,category,4
D44.48,Autres tumeur à évolution imprévisible ou inconnue du canal craniopharyngien,category,4
D46.5,Anémie réfractaire avec dysplasie de plusieurs lignées cellulaires,category,3
D46.6,Syndrome myélodysplasique avec syndrome de délétion isolée du chromosome 5 [del(5q)],category,3
D47.4,Ostéomyélofibrose,category,3
D47.5,Leucémie chronique à éosinophiles [syndrome hyperéosinophilique],category,3
D48.30,Tératome sacro-coccygien [dysembryome],category,4
D48.38,Autres tumeurs à évolution imprévisible ou inconnue du rétropéritoine,category,4
D68.5,Thrombophilie primaire,category,3
D68.6,Autres thrombophilies,category,3
D89.3,Syndrome de restauration immunitaire,category,3
E11.00,"Diabète sucré de type 2 - ""Avec coma"" - ""diabète sucré de type 2 insulinotraité""",category,4
E11.08,"Diabète sucré de type 2 - ""Avec coma"" - ""diabète sucré de type 2 non insulinotraité ou sans précision""",category,4
E11.10,"Diabète sucré de type 2 - ""Avec acidocétose"" - ""diabète sucré de type 2 insulinotraité""",category,4
E11.18,"Diabète sucré de type 2 - ""Avec acidocétose"" - ""diabète sucré de type 2 non insulinotraité ou sans précision""",category,4
E11.20,"Diabète sucré de type 2 - ""Avec complications rénales"" - ""diabète sucré de type 2 insulinotraité""",category,4
E11.28,"Diabète sucré de type 2 - ""Avec complications rénales"" - ""diabète sucré de type 2 non insulinotraité ou sans précision""",category,4
E11.30,"Diabète sucré de type 2 - ""Avec complications oculaires"" - ""diabète sucré de type 2 insulinotraité""",category,4
E11.38,"Diabète sucré de type 2 - ""Avec complications oculaires"" - ""diabète sucré de type 2 non insulinotraité ou sans précision""",category,4
E11.40,"Diabète sucré de type 2 - ""Avec complications neurologiques"" - ""diabète sucré de type 2 insulinotraité""",category,4
