code_maitre,cle,classe,sous_classe,code_atih,libelle
I70.200,I70200,ATIH s'arrête à un niveau supérieur,préfixe ATIH I7020 (type MCO 0),I7020,"Athérosclérose des artères distales, sans gangrène - "" sans gangrène """
I70.201,I70201,ATIH s'arrête à un niveau supérieur,préfixe ATIH I7020 (type MCO 0),I7020,"Athérosclérose des artères distales, sans gangrène - "" avec gangrène """
I70.210,I70210,ATIH s'arrête à un niveau supérieur,préfixe ATIH I7021 (type MCO 0),I7021,"Athérosclérose des artères distales, avec gangrène - "" sans gangrène """
I70.211,I70211,ATIH s'arrête à un niveau supérieur,préfixe ATIH I7021 (type MCO 0),I7021,"Athérosclérose des artères distales, avec gangrène - "" avec gangrène """
M07.01,M0701,ATIH s'arrête à un niveau supérieur,préfixe ATIH M070 (type MCO 0),M070,"Arthropathie psoriasique distale interphalangienne (L40.5)   - "" Région scapulaire """
M07.02,M0702,ATIH s'arrête à un niveau supérieur,préfixe ATIH M070 (type MCO 0),M070,"Arthropathie psoriasique distale interphalangienne (L40.5)   - "" Bras """
M07.03,M0703,ATIH s'arrête à un niveau supérieur,préfixe ATIH M070 (type MCO 0),M070,"Arthropathie psoriasique distale interphalangienne (L40.5)   - "" Avant-bras """
M07.05,M0705,ATIH s'arrête à un niveau supérieur,préfixe ATIH M070 (type MCO 0),M070,"Arthropathie psoriasique distale interphalangienne (L40.5)   - "" Région pelvienne et cuisse """
M07.06,M0706,ATIH s'arrête à un niveau supérieur,préfixe ATIH M070 (type MCO 0),M070,"Arthropathie psoriasique distale interphalangienne (L40.5)   - "" Jambe """
M07.08,M0708,ATIH s'arrête à un niveau supérieur,préfixe ATIH M070 (type MCO 0),M070,"Arthropathie psoriasique distale interphalangienne (L40.5)   - "" Autres """
M07.21,M0721,ATIH s'arrête à un niveau supérieur,préfixe ATIH M072 (type MCO 0),M072,"Spondylite psoriasique (L40.5)   - "" Région scapulaire """
M07.22,M0722,ATIH s'arrête à un niveau supérieur,préfixe ATIH M072 (type MCO 0),M072,"Spondylite psoriasique (L40.5)   - "" Bras """
M07.23,M0723,ATIH s'arrête à un niveau supérieur,préfixe ATIH M072 (type MCO 0),M072,"Spondylite psoriasique (L40.5)   - "" Avant-bras """
M07.24,M0724,ATIH s'arrête à un niveau supérieur,préfixe ATIH M072 (type MCO 0),M072,"Spondylite psoriasique (L40.5)   - "" Main """
M07.25,M0725,ATIH s'arrête à un niveau supérieur,préfixe ATIH M072 (type MCO 0),M072,"Spondylite psoriasique (L40.5)   - "" Région pelvienne et cuisse """
M07.26,M0726,ATIH s'arrête à un niveau supérieur,préfixe ATIH M072 (type MCO 0),M072,"Spondylite psoriasique (L40.5)   - "" Jambe """
M07.27,M0727,ATIH s'arrête à un niveau supérieur,préfixe ATIH M072 (type MCO 0),M072,"Spondylite psoriasique (L40.5)   - "" Cheville et pied """
M07.29,M0729,ATIH s'arrête à un niveau supérieur,préfixe ATIH M072 (type MCO 0),M072,"Spondylite psoriasique (L40.5)   - "" Siège non précisé """
M08.11,M0811,ATIH s'arrête à un niveau supérieur,préfixe ATIH M081 (type MCO 0),M081,"Spondylarthrite ankylosante juvénile - "" Région scapulaire """
M08.12,M0812,ATIH s'arrête à un niveau supérieur,préfixe ATIH M081 (type MCO 0),M081,"Spondylarthrite ankylosante juvénile - "" Bras """
M08.13,M0813,ATIH s'arrête à un niveau supérieur,préfixe ATIH M081 (type MCO 0),M081,"Spondylarthrite ankylosante juvénile - "" Avant-bras """
M08.14,M0814,ATIH s'arrête à un niveau supérieur,préfixe ATIH M081 (type MCO 0),M081,"Spondylarthrite ankylosante juvénile - "" Main """
M08.16,M0816,ATIH s'arrête à un niveau supérieur,préfixe ATIH M081 (type MCO 0),M081,"Spondylarthrite ankylosante juvénile - "" Jambe """
M08.17,M0817,ATIH s'arrête à un niveau supérieur,préfixe ATIH M081 (type MCO 0),M081,"Spondylarthrite ankylosante juvénile - "" Cheville et pied """
M13.10,M1310,ATIH s'arrête à un niveau supérieur,préfixe ATIH M131 (type MCO 0),M131,"Monoarthrite, non classée ailleurs - "" Sièges multiples """
M14.00,M1400,ATIH s'arrête à un niveau supérieur,préfixe ATIH M140 (type MCO 0),M140,"Arthropathie goutteuse due à un déficit enzymatique et autres troubles héréditaires - "" Sièges multiples """
M14.01,M1401,ATIH s'arrête à un niveau supérieur,préfixe ATIH M140 (type MCO 0),M140,"Arthropathie goutteuse due à un déficit enzymatique et autres troubles héréditaires - "" Région scapulaire """
M14.02,M1402,ATIH s'arrête à un niveau supérieur,préfixe ATIH M140 (type MCO 0),M140,"Arthropathie goutteuse due à un déficit enzymatique et autres troubles héréditaires - "" Bras """
M14.03,M1403,ATIH s'arrête à un niveau supérieur,préfixe ATIH M140 (type MCO 0),M140,"Arthropathie goutteuse due à un déficit enzymatique et autres troubles héréditaires - "" Avant-bras """
M14.04,M1404,ATIH s'arrête à un niveau supérieur,préfixe ATIH M140 (type MCO 0),M140,"Arthropathie goutteuse due à un déficit enzymatique et autres troubles héréditaires - "" Main """
M14.05,M1405,ATIH s'arrête à un niveau supérieur,préfixe ATIH M140 (type MCO 0),M140,"Arthropathie goutteuse due à un déficit enzymatique et autres troubles héréditaires - "" Région pelvienne et cuisse """
M14.06,M1406,ATIH s'arrête à un niveau supérieur,préfixe ATIH M140 (type MCO 0),M140,"Arthropathie goutteuse due à un déficit enzymatique et autres troubles héréditaires - "" Jambe """
M14.07,M1407,ATIH s'arrête à un niveau supérieur,préfixe ATIH M140 (type MCO 0),M140,"Arthropathie goutteuse due à un déficit enzymatique et autres troubles héréditaires - "" Cheville et pied """
M14.08,M1408,ATIH s'arrête à un niveau supérieur,préfixe ATIH M140 (type MCO 0),M140,"Arthropathie goutteuse due à un déficit enzymatique et autres troubles héréditaires - "" Autres """
M14.09,M1409,ATIH s'arrête à un niveau supérieur,préfixe ATIH M140 (type MCO 0),M140,"Arthropathie goutteuse due à un déficit enzymatique et autres troubles héréditaires - "" Siège non précisé """
M14.10,M1410,ATIH s'arrête à un niveau supérieur,préfixe ATIH M141 (type MCO 0),M141,"Arthropathie à microcristaux au cours d'autres troubles métaboliques classés ailleurs - "" Sièges multiples """
