code,texte_source,forme_normalisee,etiquette,motif_exclusion,version_regle
A07.2,"Infection (à) (de), cryptosporidium",infection cryptosporidium,"","",v5
A17.8,"Encéphalite (chronique) (hémorragique) (idiopathique) (non épidémique) (subaiguë) (de) (due à), tuberculeuse",encéphalite tuberculeuse,"","",v5
A27.9,"Infection (à) (de), leptospira interrogans (serovar)",infection à leptospira interrogans,"","",v5
A28.9,Anthropozoonose bactérienne,Anthropozoonose bactérienne,"","",v5
A36.2,"Laryngite (aiguë) (oedémateuse) (sous-glottique) (suppurée) (ulcéreuse) (due à), pseudomembraneuse (diphtérique)",laryngite pseudomembraneuse,"","",v5
A39.0,"Méningite (basilaire) (cérébrale) (spinale) (à), épidémique (à méningocoques)",méningite épidémique,"","",v5
A75.1,"Brill-zinsser, maladie de",maladie de Brill-zinsser,"","",v5
A75.3,"Fièvre (de) (des) (due à), tsutsugamushi",fièvre de tsutsugamushi,"","",v5
B30.3,"Conjonctivite (de) (due à), hémorragique (aiguë) (entérovirale) (épidémique)",conjonctivite hémorragique,"","",v5
B37.4,"Candidose (de), urètre",candidose de l'urètre,"","",v5
B37.4,"Candidose (de), vessie",candidose de la vessie,"","",v5
B73,"Onchocercose (avec) (de), paupière",onchocercose avec paupière,"","",v5
B74.0,"Bancroft, filariose de",filariose de Bancroft,"","",v5
B80,Appendicopathia oxyurica,Appendicopathia oxyurica,"","",v5
C92.2,"Myélose, subaiguë (m9862/3)",myélose subaiguë,"","",v5
C94.7,Leucolymphosarcome (m9850/3),Leucolymphosarcome,"","",v5
D39.0,Myose stromale (endolymphatique) (m8931/1),myose stromale,"","",v5
D51.0,"Anémie (à) (de), maligne (progressive)",anémie maligne,"","",v5
D68.2,"Carence (en), prothrombine (congénitale) (héréditaire)",carence en prothrombine,"","",v5
D89.1,"Cryoglobulinémie (essentielle) (idiopathique) (mixte) (primitive) (secondaire), avec atteinte pulmonaire",cryoglobulinémie avec atteinte pulmonaire,"","",v5
E03.5,"Coma, myxoedémateux",coma myxoedémateux,"","",v5
E23.6,"Dégénérescence (de), hypophyse",dégénérescence de l'hypophyse,"","",v5
E24.9,"Cushing, maladie ou syndrome de",maladie ou syndrome de Cushing,"","",v5
E26.0,"Hyperaldostéronisme, primaire",hyperaldostéronisme primaire,"","",v5
E27.2,"Crise(s) (de), addisonienne",crise addisonienne,"","",v5
E31.8,"Sclérose (de), pluriglandulaire (endocrinienne)",sclérose pluriglandulaire,"","",v5
E63.9,"Cardiomyopathie (primitive) (secondaire) (due à), nutritionnelle",cardiomyopathie nutritionnelle,"","",v5
E74.0,"Tauri, maladie de",maladie de Tauri,"","",v5
F66.2,"Problème (avec) (de), sexuel relationnel",problème sexuel relationnel,"","",v5
F68.0,Majoration de symptômes physiques pour des raisons psychologiques,majoration de symptômes physiques pour des raisons psychologiques,"","",v5
G06.1,"Abcès (embolique) (infectieux) (multiple) (pyogène) (septique) (de), intrarachidien (épidural) (extra-dural) (sous-dural)",abcès intrarachidien,"","",v5
G12.1,"Amyotrophie (de), myélopathique progressive (aran-duchenne)",amyotrophie myélopathique progressive,"","",v5
G31.9,"Dégénérescence (de), cerveau (corticale) (diffuse) (parenchymateuse) (progressive)",dégénérescence du cerveau,"","",v5
G44.0,"Horton, céphalée vasculaire de",céphalée vasculaire de Horton,"","",v5
G60.3,"Neuropathie (de), progressive idiopathique (familiale) (déjerine-sottas)",neuropathie progressive idiopathique,"","",v5
G95.1,"Minor, maladie de (hématomyélie)",maladie de Minor,"","",v5
H10.4,"Conjonctivite (de) (due à), chronique",conjonctivite chronique,"","",v5
H26.2,"Cataracte, compliquée",cataracte compliquée,"","",v5
H35.6,"Hémorragie (de) (due à), sous-rétinienne",hémorragie sous-rétinienne,"","",v5
H40.0,"Hypertension (artérielle) (bénigne) (essentielle) (idiopathique) (maligne) (primitive) (systémique), oculaire",hypertension oculaire,"","",v5
H44.1,Iridochoroïdite (panuvéite),Iridochoroïdite,"","",v5
H51.1,"Insuffisance (de), convergence (oculaire)",insuffisance de convergence,"","",v5
I49.4,Bigéminisme,bigéminisme,"","",v5
I61.4,"Hémorragie (de) (due à), cervelet (non traumatique)",hémorragie du cervelet,"","",v5
I78.8,Hyperperméabilité capillaire,hyperperméabilité capillaire,"","",v5
I82.1,"Thrombophlébite (de), migratrice",thrombophlébite migratrice,"","",v5
I82.9,"Embolie (de), veine",embolie de la veine,"","",v5
J34.8,"Fistule (de), nez",fistule du nez,"","",v5
