mid,code,libelle_officiel,chapitre,niveau,type_noeud,source,table_attache,texte,texte_divergent,patron,classe_proposee,destination_proposee,motif,peremption_suspecte,peremption_motif,version_regle
10,(C81-C96),"Tumeurs malignes primitives ou présumées primitives des tissus lymphoïde, hématopoïétique et apparentés",II,2,bloc,E,NOTE,"Les termes utilisés dans les catégories C82, C83, C84, C85 pour les lymphomes non hodgkiniens sont tirés d'une formulation qui s'efforce de trouver un terrain d'entente commun à plusieurs grands schémas de classification. Les termes retenus par ces schémas ne figurent pas dans la Table analytique mais bien à l'Index alphabétique. Il n'est pas toujours possible de trouver une équivalence exacte avec les termes figurant dans la Table analytique.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
46,(D00-D09),Tumeurs in situ,II,2,bloc,E,NOTE,"On considère que la morphologie de nombreuses tumeurs in situ correspond à tous les stades de transition entre une dysplasie et un cancer invasif. Ainsi, on reconnaît trois stades d'évolution dans le cas de néoplasie intra-épithéliale cervicale (NIC), dont le troisième (NIC III) comprend à la fois une dysplasie sévère et un carcinome in situ. Ce système de classification a été étendu à d'autres organes, tels que la vulve et le vagin. Les descriptions des néoplasies intra-épithéliales, stade III, avec ou sans mention de dysplasie sévère sont classées dans cette section; les stades I et II sont classés parmi les dysplasies de l'appareil atteint et doivent être codés dans les chapitres relatifs aux diverses localisations anatomiques.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
47,(D37-D48),Tumeurs à évolution imprévisible ou inconnue,II,2,bloc,E,NOTE,Les catégories (D37-D48) classent en fonction de leur siège les tumeurs à évolution imprévisible ou de nature imprécise : le doute subsiste donc quant au caractère malin ou bénin de la tumeur. Ces tumeurs relèvent du code de comportement /1 dans la classification de la morphologie des tumeurs.,false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
17,(E00-E90),"",IV,1,chapitre,E,NOTE,"Toutes les tumeurs sont classées dans le Chapitre II, qu'il soit ou non fait mention d'activité fonctionnelle. On peut utiliser, au besoin, les codes de ce chapitre (E05.8, E07.0, E16.-, E20.-, E21.-, E22.-, E23.-, E24.-, E25.-, E26.-, E27.-, E28.-, E29.-, E30.-, E31.-, E34.-) comme code supplémentaire pour indiquer l'activité fonctionnelle d'une tumeur ou d'un tissu endocrinien ectopique, et l'hyperfonctionnement ou l'hypofonctionnement de glandes endocrines associé à une tumeur et à d'autres états classés ailleurs.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
39,(E40-E46),Malnutrition,IV,2,bloc,E,NOTE,"Le degré de malnutrition se mesure généralement en termes de poids, exprimé en écarts types par rapport à la moyenne de la population de référence. Lorsqu'on dispose d'une ou plusieurs mesures antérieures, l'absence de gain pondéral chez l'enfant, ou la perte de poids chez l'enfant ou chez l'adulte, est en général évocateur de malnutrition. Quand on ne dispose que d'une mesure, le diagnostic est basé sur des présomptions et n'est pas certain sans autres signes cliniques ou biologiques. Dans les cas exceptionnels où l'on ne dispose d'aucune mesure de poids, il faut se fier aux signes cliniques.<P>Si un poids est inférieur à la valeur moyenne de la population de référence, il existe une forte présomption : de malnutrition grave si une valeur observée se situe à trois écarts types ou plus en dessous de la valeur moyenne de la population de référence; de malnutrition modérée pour une valeur observée située entre deux et moins de trois écarts types; et de malnutrition légère pour une valeur située entre un et moins de deux écarts types.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
101,(I20-I25),Cardiopathies ischémiques,IX,2,bloc,E,NOTE,"Pour la morbidité, le laps de temps dont il est fait mention en I21, I22, I23, I24, I25 est l'intervalle entre le début de l'épisode ischémique et l'admission pour soins. Pour la mortalité, le laps de temps est l'intervalle entre le début de cet épisode et la mort.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
112,(J00-J99),"",X,1,chapitre,E,NOTE,"Lorsqu'une maladie est décrite comme ayant plus d'une localisation et n'est pas spécifiquement codée, elle est classée à la localisation la plus basse (par exemple : trachéobronchite à bronchite en J40).",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
131,(K40-K46),Hernies,XI,2,bloc,E,NOTE,Hernie avec gangrène et occlusion doit être codée à hernie avec gangrène.,false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
138,(L20-L30),Dermatoses et exémas [eczémas],XII,2,bloc,E,NOTE,"Dans cette catégorie, les termes dermite et eczéma sont utilisés comme synonymes et sont interchangeables.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
156,(M15-M19),Arthroses,XIII,3,subdivision,E,NOTE,"Dans cette section, le terme ostéo-arthrite est utilisé comme synonyme d'arthrose ou d'ostéoarthrose. Le terme ""primaire"" est utilisé dans son sens clinique habituel c'est-à-dire sans identification d'une cause sous-jacente ou déterminante.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
203,(O20-O29),Autres affections maternelles liées principalement à la grossesse,XV,2,bloc,E,NOTE,Les catégories O24.- et O25 comprennent les états mentionnés même si ces derniers surviennent pendant l'accouchement ou la puerpéralité.,false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
205,(O80-O84),Accouchement,XV,2,bloc,E,NOTE,Les catégories (O80-O84) sont données pour le codage de la morbidité et ne doivent être utilisées pour le codage de la cause principale que si aucune autre condition du Chapitre XV n'est mentionnée. Se référer aux règles et instructions du Volume 2 pour le codage de la morbidité.,false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
207,(O85-O92),Complications principalement liées à la puerpéralité,XV,2,bloc,E,NOTE,"Les catégories O88.-, O91.- et O92.- comprennent les états mentionnés même si ceux-ci surviennent pendant la grossesse et l'accouchement.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
209,(O95-O99),"",XV,2,bloc,E,NOTE,"Pour l'utilisation des catégories O95, O96, O97, se référer aux règles et instructions du Volume 2 pour le codage de la mortalité.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
170,(X40-X49),Intoxication accidentelle par des substances nocives et exposition à ces substances,XX,3,subdivision,E,NOTE,"Se reporter à la Table des médicaments et substances chimiques de l'Index alphabétique pour la liste des médicaments et autres substances chimiques classées  dans les catégories à trois caractères. S'il est prouvé que l'action de l'alcool est associée aux substances mentionnées ci-dessous, on peut l'indiquer au moyen de codes supplémentaires (Y90, Y91).",true,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
171,(Y10-Y34),Evénements dont l'intention n'est pas déterminée,XX,2,bloc,E,NOTE,"Cette section concerne les événements au sujet desquels les renseignements dont on dispose ne permettent pas aux autorités médicales ou légales de savoir s'il s'agit d'un accident, d'une lésion auto-infligée ou d'une agression. <P>Elle comprend les lésions auto-infligées, mais pas les intoxications, quand il n'est pas précisé si elles sont accidentelles ou s'il y a eu intention de nuire.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
172,(Y40-Y59),Médicaments et substances biologiques ayant provoqué des effets indésirables au cours de leur usage thérapeutique,XX,3,subdivision,E,NOTE,Se reporter à la Table des médicaments et substances chimiques de l'Index alphabétique pour la liste des médicaments spécifiques classés dans les subdivisions à quatre caractères.,false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
173,(Y85-Y89),Séquelles de causes externes de morbidité et de mortalité,XX,2,bloc,E,NOTE,"Les catégories (Y85-Y89) doivent servir à indiquer les circonstances qui sont la cause du décès, de la déficience ou de l'incapacité résultant de séquelles ou ""effets tardifs"", qui sont classés ailleurs. Ces séquelles comprennent des états signalés comme tels ou se présentant comme des ""effets tardifs"" au moins un an après l'événement initial.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
174,(Y90-Y98),Facteurs supplémentaires se rapportant aux causes de morbidité et de mortalité classées ailleurs,XX,2,bloc,E,NOTE,"Ces catégories peuvent servir, au besoin, à apporter des renseignements supplémentaires sur les causes de morbidité et de mortalité. Elles ne doivent pas être utilisées comme code de la cause initiale de mortalité ou de morbidité.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
