provenance,code,libelle_officiel,chapitre,type_noeud,source_ofs,kind_ans,attache,patron,caractere,classe_proposee,destination_proposee,motif,texte_retenu,divergence_textuelle,texte_ofs_si_divergent,abandonnee_par_ans_2025,controle_plein_texte,peremption_suspecte,peremption_motif,version_regle
OFS_2006,(F00-F99),"",V,chapitre,N,"",NOTE,historique_classification,presentationnelle,convention_classement,non_rendue,note historique/éditoriale de la classification ; présentationnelle — mise en page/organisation du volume,"Ce chapitre a été partiellement étendu par des informations provenant de la Classification internationale des troubles mentaux et des troubles du comportement, une publication officielle de l'OMS.",false,"",true,absent,false,"",v3
les_deux,B03,Variole,I,categorie,N,coding-hint,Class,historique_classification,presentationnelle,convention_classement,non_rendue,note historique/éditoriale de la classification ; présentationnelle — mise en page/organisation du volume,"En mai 1980, la 33ème Assemblée mondiale de la Santé a officiellement déclaré que la variole avait été éradiquée. La classification est maintenue à des fins de surveillance.",true,"En mai 1980, la 33ème Assemblée mondiale de la Santé a officiellement déclaré que la variole était éradiquée. La classification est maintenue à des fins de surveillance.",false,"",false,"",v3
ANS_2025,N00,Syndrome néphritique aigu,XIV,categorie,"",text,Class,renvoi_presentation,presentationnelle,convention_classement,non_rendue,renvoi de présentation du volume 1 — sans contenu propre ; présentationnelle — mise en page/organisation du volume,[voir subdivisions avant N00],false,"",false,"",false,"",v3
ANS_2025,N01,Syndrome néphritique d'évolution rapide,XIV,categorie,"",text,Class,renvoi_presentation,presentationnelle,convention_classement,non_rendue,renvoi de présentation du volume 1 — sans contenu propre ; présentationnelle — mise en page/organisation du volume,[voir subdivisions avant N00],false,"",false,"",false,"",v3
ANS_2025,N02,Hématurie récidivante et persistante,XIV,categorie,"",text,Class,renvoi_presentation,presentationnelle,convention_classement,non_rendue,renvoi de présentation du volume 1 — sans contenu propre ; présentationnelle — mise en page/organisation du volume,[voir subdivisions avant N00],false,"",false,"",false,"",v3
ANS_2025,N03,Syndrome néphritique chronique,XIV,categorie,"",text,Class,renvoi_presentation,presentationnelle,convention_classement,non_rendue,renvoi de présentation du volume 1 — sans contenu propre ; présentationnelle — mise en page/organisation du volume,[voir subdivisions avant N00],false,"",false,"",false,"",v3
ANS_2025,N04,Syndrome néphrotique,XIV,categorie,"",text,Class,renvoi_presentation,presentationnelle,convention_classement,non_rendue,renvoi de présentation du volume 1 — sans contenu propre ; présentationnelle — mise en page/organisation du volume,[voir subdivisions avant N00],false,"",false,"",false,"",v3
ANS_2025,N05,"Syndrome néphritique, sans précision",XIV,categorie,"",text,Class,renvoi_presentation,presentationnelle,convention_classement,non_rendue,renvoi de présentation du volume 1 — sans contenu propre ; présentationnelle — mise en page/organisation du volume,[voir subdivisions avant N00],false,"",false,"",false,"",v3
ANS_2025,N06,Protéinurie isolée avec lésions morphologiques précisées,XIV,categorie,"",text,Class,renvoi_presentation,presentationnelle,convention_classement,non_rendue,renvoi de présentation du volume 1 — sans contenu propre ; présentationnelle — mise en page/organisation du volume,[voir subdivisions avant N00],false,"",false,"",false,"",v3
ANS_2025,N07,"Néphropathie héréditaire, non classée ailleurs",XIV,categorie,"",text,Class,renvoi_presentation,presentationnelle,convention_classement,non_rendue,renvoi de présentation du volume 1 — sans contenu propre ; présentationnelle — mise en page/organisation du volume,[voir subdivisions avant N00],false,"",false,"",false,"",v3
